Instrument:,H2S-200302595,,,,
Time Zone Offset (Minutes):,-240,,,,
Orignal File Name:,"C:\Users\Phil.Bennington\Documents\Aculog NH3\H2S-200302595_5_19_2022, 1_41_25 PM --- 5_31_2022, 8_11_25 AM.acrudata",,,,
Session ID:,9065,,,,
Session 1st Title:,"H2S-200302595_5_19_2022, 1_41_25 PM --- 5_31_2022, 8_11_25 AM",,,,
Session Start:,"5/19/2022, 1:41:25 PM",,,,
Session End:,"5/31/2022, 8:11:25 AM",,,,
,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"5/19/2022, 1:41:25 PM",3.64,74.3,67.5,0,2022-05-19T17:41:25.000Z
"5/19/2022, 1:46:25 PM",3.639,75.6,67.5,0,2022-05-19T17:46:25.000Z
"5/19/2022, 1:51:25 PM",3.638,79.9,68,0,2022-05-19T17:51:25.000Z
"5/19/2022, 1:56:25 PM",3.637,81.5,70.8,0,2022-05-19T17:56:25.000Z
"5/19/2022, 2:01:25 PM",3.637,82.4,74.8,0,2022-05-19T18:01:25.000Z
"5/19/2022, 2:06:25 PM",3.637,83.1,77.9,1,2022-05-19T18:06:25.000Z
"5/19/2022, 2:11:25 PM",3.636,84,80.2,1,2022-05-19T18:11:25.000Z
"5/19/2022, 2:16:25 PM",3.636,84.9,81.9,1,2022-05-19T18:16:25.000Z
"5/19/2022, 2:21:25 PM",3.635,85.5,83.4,1,2022-05-19T18:21:25.000Z
"5/19/2022, 2:26:25 PM",3.635,86.4,84.5,1,2022-05-19T18:26:25.000Z
"5/19/2022, 2:31:25 PM",3.634,86.9,85.5,1,2022-05-19T18:31:25.000Z
"5/19/2022, 2:36:25 PM",3.634,87.4,86.4,1,2022-05-19T18:36:25.000Z
"5/19/2022, 2:41:25 PM",3.634,88,87,1,2022-05-19T18:41:25.000Z
"5/19/2022, 2:46:25 PM",3.634,88.2,87.5,1,2022-05-19T18:46:25.000Z
"5/19/2022, 2:51:25 PM",3.634,88.7,88,1,2022-05-19T18:51:25.000Z
"5/19/2022, 2:56:25 PM",3.634,89.2,88.3,1,2022-05-19T18:56:25.000Z
"5/19/2022, 3:01:25 PM",3.634,89.4,88.5,1,2022-05-19T19:01:25.000Z
"5/19/2022, 3:06:25 PM",3.633,89.8,88.6,1,2022-05-19T19:06:25.000Z
"5/19/2022, 3:11:25 PM",3.633,90.1,88.8,1,2022-05-19T19:11:25.000Z
"5/19/2022, 3:16:25 PM",3.633,90.3,89,1,2022-05-19T19:16:25.000Z
"5/19/2022, 3:21:25 PM",3.633,90.9,89.2,1,2022-05-19T19:21:25.000Z
"5/19/2022, 3:26:25 PM",3.633,91,89.3,1,2022-05-19T19:26:25.000Z
"5/19/2022, 3:31:25 PM",3.633,91.2,89.3,1,2022-05-19T19:31:25.000Z
"5/19/2022, 3:36:25 PM",3.633,91.6,89.3,1,2022-05-19T19:36:25.000Z
"5/19/2022, 3:41:25 PM",3.632,91.9,89.3,1,2022-05-19T19:41:25.000Z
"5/19/2022, 3:46:25 PM",3.633,92.1,89.3,1,2022-05-19T19:46:25.000Z
"5/19/2022, 3:51:25 PM",3.632,92.3,89.3,1,2022-05-19T19:51:25.000Z
"5/19/2022, 3:56:25 PM",3.633,92.5,89.3,1,2022-05-19T19:56:25.000Z
"5/19/2022, 4:01:25 PM",3.632,93,89.4,1,2022-05-19T20:01:25.000Z
"5/19/2022, 4:06:25 PM",3.632,93.2,89.4,1,2022-05-19T20:06:25.000Z
"5/19/2022, 4:11:25 PM",3.632,93.4,89.3,1,2022-05-19T20:11:25.000Z
"5/19/2022, 4:16:25 PM",3.632,93.4,89.2,1,2022-05-19T20:16:25.000Z
"5/19/2022, 4:21:25 PM",3.633,93.6,89.1,1,2022-05-19T20:21:25.000Z
"5/19/2022, 4:26:25 PM",3.632,93.7,89.1,1,2022-05-19T20:26:25.000Z
"5/19/2022, 4:31:25 PM",3.632,93.9,89.1,1,2022-05-19T20:31:25.000Z
"5/19/2022, 4:36:25 PM",3.633,94.5,89.2,1,2022-05-19T20:36:25.000Z
"5/19/2022, 4:41:25 PM",3.632,94.8,89,0,2022-05-19T20:41:25.000Z
"5/19/2022, 4:46:25 PM",3.632,95.7,88.7,0,2022-05-19T20:46:25.000Z
"5/19/2022, 4:51:25 PM",3.632,96.3,88.3,0,2022-05-19T20:51:25.000Z
"5/19/2022, 4:56:25 PM",3.632,96.8,87.8,1,2022-05-19T20:56:25.000Z
"5/19/2022, 5:01:25 PM",3.631,97.5,87.5,0,2022-05-19T21:01:25.000Z
"5/19/2022, 5:06:25 PM",3.631,97.9,87.3,0,2022-05-19T21:06:25.000Z
"5/19/2022, 5:11:25 PM",3.631,98.1,87,0,2022-05-19T21:11:25.000Z
"5/19/2022, 5:16:25 PM",3.631,98.2,86.7,0,2022-05-19T21:16:25.000Z
"5/19/2022, 5:21:25 PM",3.631,98.2,86.3,0,2022-05-19T21:21:25.000Z
"5/19/2022, 5:26:25 PM",3.631,97.9,86.1,0,2022-05-19T21:26:25.000Z
"5/19/2022, 5:31:25 PM",3.632,97.2,85.8,0,2022-05-19T21:31:25.000Z
"5/19/2022, 5:36:25 PM",3.632,96.6,85.7,0,2022-05-19T21:36:25.000Z
"5/19/2022, 5:41:25 PM",3.632,96.3,85.7,0,2022-05-19T21:41:25.000Z
"5/19/2022, 5:46:25 PM",3.632,95.7,85.8,1,2022-05-19T21:46:25.000Z
"5/19/2022, 5:51:25 PM",3.633,95,86,0,2022-05-19T21:51:25.000Z
"5/19/2022, 5:56:25 PM",3.633,94.5,86.1,1,2022-05-19T21:56:25.000Z
"5/19/2022, 6:01:25 PM",3.634,93.7,86.3,0,2022-05-19T22:01:25.000Z
"5/19/2022, 6:06:25 PM",3.634,93.2,86.5,0,2022-05-19T22:06:25.000Z
"5/19/2022, 6:11:25 PM",3.635,92.7,86.8,0,2022-05-19T22:11:25.000Z
"5/19/2022, 6:16:25 PM",3.636,92.1,87.1,1,2022-05-19T22:16:25.000Z
"5/19/2022, 6:21:25 PM",3.635,91.6,87.5,0,2022-05-19T22:21:25.000Z
"5/19/2022, 6:26:25 PM",3.636,91.2,87.8,0,2022-05-19T22:26:25.000Z
"5/19/2022, 6:31:25 PM",3.637,90.7,88.2,0,2022-05-19T22:31:25.000Z
"5/19/2022, 6:36:25 PM",3.637,90.3,88.5,0,2022-05-19T22:36:25.000Z
"5/19/2022, 6:41:25 PM",3.637,89.8,88.9,0,2022-05-19T22:41:25.000Z
"5/19/2022, 6:46:25 PM",3.637,89.4,89.2,0,2022-05-19T22:46:25.000Z
"5/19/2022, 6:51:25 PM",3.638,89.1,89.5,0,2022-05-19T22:51:25.000Z
"5/19/2022, 6:56:25 PM",3.638,88.5,89.9,2,2022-05-19T22:56:25.000Z
"5/19/2022, 7:01:25 PM",3.638,88.2,90.2,2,2022-05-19T23:01:25.000Z
"5/19/2022, 7:06:25 PM",3.639,88,90.5,2,2022-05-19T23:06:25.000Z
"5/19/2022, 7:11:25 PM",3.639,87.6,90.8,1,2022-05-19T23:11:25.000Z
"5/19/2022, 7:16:25 PM",3.639,87.3,91.2,1,2022-05-19T23:16:25.000Z
"5/19/2022, 7:21:25 PM",3.639,86.9,91.6,1,2022-05-19T23:21:25.000Z
"5/19/2022, 7:26:25 PM",3.639,86.7,91.9,1,2022-05-19T23:26:25.000Z
