Instrument:,H2S-200602855,,,,
Time Zone Offset (Minutes):,-300,,,,
Orignal File Name:,"C:\Users\Phil.Bennington\Documents\Aculog NH3\H2S-200602855_4_22_2022, 1_34_43 PM --- 4_29_2022, 9_09_43 AM.acrudata",,,,
Session ID:,45880,,,,
Session 1st Title:,"H2S-200602855_4_22_2022, 1_34_43 PM --- 4_29_2022, 9_09_43 AM",,,,
Session Start:,"4/22/2022, 12:34:43 PM",,,,
Session End:,"4/29/2022, 8:09:43 AM",,,,
,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"4/22/2022, 12:34:43 PM",3.619,73.8,63.1,1,2022-04-22T17:34:43.000Z
"4/22/2022, 12:39:43 PM",3.618,79.5,63.2,0,2022-04-22T17:39:43.000Z
"4/22/2022, 12:44:43 PM",3.618,80.8,63,0,2022-04-22T17:44:43.000Z
"4/22/2022, 12:49:43 PM",3.618,81.9,63.1,1,2022-04-22T17:49:43.000Z
"4/22/2022, 12:54:43 PM",3.618,82.9,63.3,2,2022-04-22T17:54:43.000Z
"4/22/2022, 12:59:43 PM",3.618,84,63.4,2,2022-04-22T17:59:43.000Z
"4/22/2022, 1:04:43 PM",3.618,85.1,63.6,2,2022-04-22T18:04:43.000Z
"4/22/2022, 1:09:43 PM",3.618,86,63.7,2,2022-04-22T18:09:43.000Z
"4/22/2022, 1:14:43 PM",3.617,86.9,63.9,2,2022-04-22T18:14:43.000Z
"4/22/2022, 1:19:43 PM",3.618,87.6,64,2,2022-04-22T18:19:43.000Z
"4/22/2022, 1:24:43 PM",3.617,88.5,64.1,3,2022-04-22T18:24:43.000Z
"4/22/2022, 1:29:43 PM",3.618,89.1,64.2,3,2022-04-22T18:29:43.000Z
"4/22/2022, 1:34:43 PM",3.618,89.6,64.3,2,2022-04-22T18:34:43.000Z
"4/22/2022, 1:39:43 PM",3.618,90,64.4,2,2022-04-22T18:39:43.000Z
"4/22/2022, 1:44:43 PM",3.618,90.3,64.4,3,2022-04-22T18:44:43.000Z
