Instrument:,H2S-200803082
Time Zone Offset (Minutes):,-240
Orignal File Name:,"C:\Users\Phil.Bennington\Documents\Aculog NH3\H2S-200803082_[1-30-2025, 12-45-58 PM --- 2-26-2025, 1-15-58 PM].acrudata"
Session ID:,28404
Session 1st Title:,"H2S-200803082_[1-30-2025, 12-45-58 PM --- 2-26-2025, 1-15-58 PM]"
Session 2nd Title:,2-1-25 to 2-26-25
Session Start:,"1/30/2025, 1:45:58 PM"
Session End:,"2/26/2025, 2:15:58 PM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"1/30/2025, 1:45:58 PM",3.636,64.6,41.2,0,2025-01-30T17:45:58.000Z
"1/30/2025, 1:50:58 PM",3.636,65.3,41.2,0,2025-01-30T17:50:58.000Z
"1/30/2025, 1:55:58 PM",3.637,64.9,41.3,0,2025-01-30T17:55:58.000Z
"1/30/2025, 2:00:58 PM",3.636,64.6,41.2,0,2025-01-30T18:00:58.000Z
"1/30/2025, 2:05:58 PM",3.637,64.4,41.3,0,2025-01-30T18:05:58.000Z
"1/30/2025, 2:10:58 PM",3.637,64,41.7,0,2025-01-30T18:10:58.000Z
"1/30/2025, 2:15:58 PM",3.637,63.9,43.7,0,2025-01-30T18:15:58.000Z
"1/30/2025, 2:20:58 PM",3.637,63.9,48.3,0,2025-01-30T18:20:58.000Z
"1/30/2025, 2:25:58 PM",3.637,63.7,54,0,2025-01-30T18:25:58.000Z
"1/30/2025, 2:30:58 PM",3.637,63.5,59.6,0,2025-01-30T18:30:58.000Z
"1/30/2025, 2:35:58 PM",3.636,63.5,64.4,0,2025-01-30T18:35:58.000Z
"1/30/2025, 2:40:58 PM",3.636,63.5,68.1,0,2025-01-30T18:40:58.000Z
"1/30/2025, 2:45:58 PM",3.637,63.3,71.1,0,2025-01-30T18:45:58.000Z
"1/30/2025, 2:50:58 PM",3.637,63.1,73.5,0,2025-01-30T18:50:58.000Z
