Instrument:,H2S-200803082
Time Zone Offset (Minutes):,-240
Orignal File Name:,"F:\Pretreat\H2S Odalog Data\H2S-200803082_[8-2-2024, 7-37-09 AM --- 9-9-2024, 1-02-09 PM].acrudata"
Session ID:,38635
Session 1st Title:,"H2S-200803082_[8-2-2024, 7-37-09 AM --- 9-9-2024, 1-02-09 PM]"
Session Start:,"8/2/2024, 7:37:09 AM"
Session End:,"9/9/2024, 1:02:09 PM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"8/2/2024, 7:37:09 AM",3.659,75.4,79.1,0,2024-08-02T11:37:09.000Z
"8/2/2024, 7:42:09 AM",3.659,75.9,79.6,0,2024-08-02T11:42:09.000Z
"8/2/2024, 7:47:09 AM",3.658,75.6,79.4,0,2024-08-02T11:47:09.000Z
"8/2/2024, 7:52:09 AM",3.657,75.6,79,0,2024-08-02T11:52:09.000Z
"8/2/2024, 7:57:09 AM",3.658,75.6,78.9,0,2024-08-02T11:57:09.000Z
"8/2/2024, 8:02:09 AM",3.658,78.4,79.7,0,2024-08-02T12:02:09.000Z
"8/2/2024, 8:07:09 AM",3.657,80.1,82,0,2024-08-02T12:07:09.000Z
"8/2/2024, 8:12:09 AM",3.657,81.1,84.1,0,2024-08-02T12:12:09.000Z
"8/2/2024, 8:17:09 AM",3.657,82,85.6,0,2024-08-02T12:17:09.000Z
"8/2/2024, 8:22:09 AM",3.657,82.6,86.7,0,2024-08-02T12:22:09.000Z
"8/2/2024, 8:27:09 AM",3.658,83.1,87.7,0,2024-08-02T12:27:09.000Z
"8/2/2024, 8:32:09 AM",3.657,83.5,88.5,0,2024-08-02T12:32:09.000Z
"8/2/2024, 8:37:09 AM",3.657,84,89.3,0,2024-08-02T12:37:09.000Z
"8/2/2024, 8:42:09 AM",3.657,84,89.9,0,2024-08-02T12:42:09.000Z
"8/2/2024, 8:47:09 AM",3.657,84.6,90.4,0,2024-08-02T12:47:09.000Z
"8/2/2024, 8:52:09 AM",3.657,84.9,91,0,2024-08-02T12:52:09.000Z
"8/2/2024, 8:57:09 AM",3.657,85.3,91.5,0,2024-08-02T12:57:09.000Z
"8/2/2024, 9:02:09 AM",3.657,85.5,92,0,2024-08-02T13:02:09.000Z
"8/2/2024, 9:07:09 AM",3.657,85.8,92.4,0,2024-08-02T13:07:09.000Z
"8/2/2024, 9:12:09 AM",3.657,86,92.7,0,2024-08-02T13:12:09.000Z
"8/2/2024, 9:17:09 AM",3.657,86.2,93.1,0,2024-08-02T13:17:09.000Z
"8/2/2024, 9:22:09 AM",3.657,86.4,93.4,0,2024-08-02T13:22:09.000Z
"8/2/2024, 9:27:09 AM",3.657,86.5,93.7,0,2024-08-02T13:27:09.000Z
"8/2/2024, 9:32:09 AM",3.657,86.7,93.9,0,2024-08-02T13:32:09.000Z
"8/2/2024, 9:37:09 AM",3.657,86.7,94.2,0,2024-08-02T13:37:09.000Z
"8/2/2024, 9:42:09 AM",3.657,86.5,94.4,0,2024-08-02T13:42:09.000Z
"8/2/2024, 9:47:09 AM",3.657,86.5,94.6,0,2024-08-02T13:47:09.000Z
"8/2/2024, 9:52:09 AM",3.657,86.5,94.8,0,2024-08-02T13:52:09.000Z
"8/2/2024, 9:57:09 AM",3.657,86.5,94.9,0,2024-08-02T13:57:09.000Z
"8/2/2024, 10:02:09 AM",3.657,86.4,95.2,0,2024-08-02T14:02:09.000Z
"8/2/2024, 10:07:09 AM",3.657,86.4,95.2,0,2024-08-02T14:07:09.000Z
"8/2/2024, 10:12:09 AM",3.657,86.4,95.4,0,2024-08-02T14:12:09.000Z
"8/2/2024, 10:17:09 AM",3.657,86.4,95.7,0,2024-08-02T14:17:09.000Z
