Instrument:,H2S-240708934
Time Zone Offset (Minutes):,-240
Orignal File Name:,C:\Users\phil.bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dissertation\H2S-240708934_10-08-25.acrudata
Session ID:,53491
Session 1st Title:,H2S-240708934_10-08-25
Session Start:,"9/12/2025, 7:23:08 AM"
Session End:,"10/8/2025, 8:08:08 AM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"9/12/2025, 7:23:08 AM",3.629,73.2,58.9,0,2025-09-12T11:23:08.000Z
"9/12/2025, 7:26:08 AM",3.629,73.9,58.8,0,2025-09-12T11:26:08.000Z
"9/12/2025, 7:29:08 AM",3.614,73.6,58.7,0,2025-09-12T11:29:08.000Z
"9/12/2025, 7:32:08 AM",3.619,73.2,58.5,0,2025-09-12T11:32:08.000Z
"9/12/2025, 7:35:08 AM",3.623,73,58.4,0,2025-09-12T11:35:08.000Z
"9/12/2025, 7:38:08 AM",3.625,72.9,58.2,0,2025-09-12T11:38:08.000Z
"9/12/2025, 7:41:08 AM",3.625,72.7,58.1,0,2025-09-12T11:41:08.000Z
"9/12/2025, 7:44:08 AM",3.626,72.5,58,0,2025-09-12T11:44:08.000Z
"9/12/2025, 7:47:08 AM",3.627,72.3,57.9,0,2025-09-12T11:47:08.000Z
"9/12/2025, 7:50:08 AM",3.627,72.3,57.9,0,2025-09-12T11:50:08.000Z
"9/12/2025, 7:53:08 AM",3.628,72.1,57.9,0,2025-09-12T11:53:08.000Z
"9/12/2025, 7:56:08 AM",3.628,72.1,57.8,0,2025-09-12T11:56:08.000Z
"9/12/2025, 7:59:08 AM",3.628,72,57.8,0,2025-09-12T11:59:08.000Z
"9/12/2025, 8:02:08 AM",3.628,72,57.8,0,2025-09-12T12:02:08.000Z
"9/12/2025, 8:05:08 AM",3.628,71.8,57.8,0,2025-09-12T12:05:08.000Z
"9/12/2025, 8:08:08 AM",3.628,71.8,57.8,0,2025-09-12T12:08:08.000Z
"9/12/2025, 8:11:08 AM",3.628,71.8,57.8,0,2025-09-12T12:11:08.000Z
"9/12/2025, 8:14:08 AM",3.628,71.8,57.8,0,2025-09-12T12:14:08.000Z
"9/12/2025, 8:17:08 AM",3.628,71.6,57.9,0,2025-09-12T12:17:08.000Z
"9/12/2025, 8:20:08 AM",3.628,71.6,57.8,0,2025-09-12T12:20:08.000Z
"9/12/2025, 8:23:08 AM",3.628,71.6,57.9,0,2025-09-12T12:23:08.000Z
"9/12/2025, 8:26:08 AM",3.628,71.6,57.9,0,2025-09-12T12:26:08.000Z
"9/12/2025, 8:29:08 AM",3.628,71.6,57.9,0,2025-09-12T12:29:08.000Z
"9/12/2025, 8:32:08 AM",3.628,71.6,57.9,0,2025-09-12T12:32:08.000Z
"9/12/2025, 8:35:08 AM",3.628,71.6,57.9,0,2025-09-12T12:35:08.000Z
"9/12/2025, 8:38:08 AM",3.627,71.6,58,0,2025-09-12T12:38:08.000Z
"9/12/2025, 8:41:08 AM",3.628,71.6,58,0,2025-09-12T12:41:08.000Z
"9/12/2025, 8:44:08 AM",3.628,71.6,58,0,2025-09-12T12:44:08.000Z
"9/12/2025, 8:47:08 AM",3.628,71.8,58.1,0,2025-09-12T12:47:08.000Z
"9/12/2025, 8:50:08 AM",3.628,71.8,58.1,0,2025-09-12T12:50:08.000Z
"9/12/2025, 8:53:08 AM",3.628,71.8,58.1,0,2025-09-12T12:53:08.000Z
"9/12/2025, 8:56:08 AM",3.628,71.8,58.1,0,2025-09-12T12:56:08.000Z
"9/12/2025, 8:59:08 AM",3.628,71.8,58.1,0,2025-09-12T12:59:08.000Z
"9/12/2025, 9:02:08 AM",3.628,71.8,58.1,0,2025-09-12T13:02:08.000Z
"9/12/2025, 9:05:08 AM",3.628,72,58.1,0,2025-09-12T13:05:08.000Z
"9/12/2025, 9:08:08 AM",3.628,72,58.2,0,2025-09-12T13:08:08.000Z
"9/12/2025, 9:11:08 AM",3.628,72,58.2,0,2025-09-12T13:11:08.000Z
"9/12/2025, 9:14:08 AM",3.628,72,58.2,0,2025-09-12T13:14:08.000Z
"9/12/2025, 9:17:08 AM",3.628,72.1,58.2,0,2025-09-12T13:17:08.000Z
