Instrument:,H2S-240708934,,,,
Time Zone Offset (Minutes):,-300,,,,
Orignal File Name:,"C:\Users\phil.bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dissertation\H2S-240708934_[3-2-2026, 9-18-14 AM --- 3-6-2026, 11-30-14 AM].acrudata",,,,
Session ID:,651,,,,
Session 1st Title:,"H2S-240708934_[3-2-2026, 9-18-14 AM --- 3-6-2026, 11-30-14 AM]",,,,
Session Start:,"3/2/2026, 9:18:14 AM",,,,
Session End:,"3/6/2026, 11:30:14 AM",,,,
,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"3/2/2026, 9:18:14 AM",3.625,70.5,26.4,0,2026-03-02T14:18:14.000Z
"3/2/2026, 9:21:14 AM",3.624,69.4,26.3,0,2026-03-02T14:21:14.000Z
"3/2/2026, 9:24:14 AM",3.623,68,26.3,0,2026-03-02T14:24:14.000Z
"3/2/2026, 9:27:14 AM",3.623,64.4,26.2,0,2026-03-02T14:27:14.000Z
"3/2/2026, 9:30:14 AM",3.623,62.1,26.1,0,2026-03-02T14:30:14.000Z
"3/2/2026, 9:33:14 AM",3.622,60.1,26.1,0,2026-03-02T14:33:14.000Z
"3/2/2026, 9:36:14 AM",3.622,58.3,26.1,0,2026-03-02T14:36:14.000Z
"3/2/2026, 9:39:14 AM",3.622,56.8,26,0,2026-03-02T14:39:14.000Z
"3/2/2026, 9:42:14 AM",3.622,55.4,26,0,2026-03-02T14:42:14.000Z
"3/2/2026, 9:45:14 AM",3.621,54.1,26,0,2026-03-02T14:45:14.000Z
"3/2/2026, 9:48:14 AM",3.621,53.1,26,0,2026-03-02T14:48:14.000Z
"3/2/2026, 9:51:14 AM",3.62,52.2,26,0,2026-03-02T14:51:14.000Z
"3/2/2026, 9:54:14 AM",3.62,51.3,26,0,2026-03-02T14:54:14.000Z
"3/2/2026, 9:57:14 AM",3.62,50.5,26,0,2026-03-02T14:57:14.000Z
"3/2/2026, 10:00:14 AM",3.62,49.8,25.9,0,2026-03-02T15:00:14.000Z
"3/2/2026, 10:03:14 AM",3.619,49.1,25.9,0,2026-03-02T15:03:14.000Z
"3/2/2026, 10:06:14 AM",3.619,48.6,25.9,0,2026-03-02T15:06:14.000Z
"3/2/2026, 10:09:14 AM",3.618,48,26,0,2026-03-02T15:09:14.000Z
"3/2/2026, 10:12:14 AM",3.618,47.7,26,0,2026-03-02T15:12:14.000Z
"3/2/2026, 10:15:14 AM",3.618,47.1,26,0,2026-03-02T15:15:14.000Z
"3/2/2026, 10:18:14 AM",3.617,46.8,26,0,2026-03-02T15:18:14.000Z
"3/2/2026, 10:21:14 AM",3.617,46.6,26,0,2026-03-02T15:21:14.000Z
"3/2/2026, 10:24:14 AM",3.616,46.2,26,0,2026-03-02T15:24:14.000Z
"3/2/2026, 10:27:14 AM",3.616,46,26,0,2026-03-02T15:27:14.000Z
"3/2/2026, 10:30:14 AM",3.615,45.7,26,0,2026-03-02T15:30:14.000Z
"3/2/2026, 10:33:14 AM",3.615,45.5,26,0,2026-03-02T15:33:14.000Z
"3/2/2026, 10:36:14 AM",3.615,45.3,26.1,0,2026-03-02T15:36:14.000Z
"3/2/2026, 10:39:14 AM",3.614,45.1,26.2,0,2026-03-02T15:39:14.000Z
"3/2/2026, 10:42:14 AM",3.614,45,26.3,0,2026-03-02T15:42:14.000Z
"3/2/2026, 10:45:14 AM",3.613,44.8,26.5,0,2026-03-02T15:45:14.000Z
"3/2/2026, 10:48:14 AM",3.614,44.8,26.8,0,2026-03-02T15:48:14.000Z
"3/2/2026, 10:51:14 AM",3.613,44.6,27.2,0,2026-03-02T15:51:14.000Z
