Instrument:,H2S-250510029,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,
Orignal File Name:,"C:\Users\phil.bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dissertation\Acrustat Data\H2S-250510029_[5-15-2026, 12-43-10 PM --- 6-23-2026, 12-28-10 PM].acrudata",,,,,,,,,,,,,
Session ID:,45690,,,,,,,,,,,,,
Session 1st Title:,"H2S-250510029_[5-15-2026, 12-43-10 PM --- 6-23-2026, 12-28-10 PM]",,,,,,,,,,,,,
Session Start:,"5/15/2026, 12:43:10 PM",,,,,,,,,,,,,
Session End:,"6/23/2026, 12:28:10 PM",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,,,,,,
"5/15/2026, 12:43:10 PM",3.629,73.6,49,0,2026-05-15T16:43:10.000Z,,,,,,,,,
"5/15/2026, 12:46:10 PM",3.629,73.9,48.9,0,2026-05-15T16:46:10.000Z,,,,,,,,,
"5/15/2026, 12:49:10 PM",3.629,75,48.8,0,2026-05-15T16:49:10.000Z,,,,,,,,,
"5/15/2026, 12:52:10 PM",3.63,74.5,48.8,0,2026-05-15T16:52:10.000Z,,,,,,,,,
"5/15/2026, 12:55:10 PM",3.63,74.5,48.7,0,2026-05-15T16:55:10.000Z,,,,,,,,,
"5/15/2026, 12:58:10 PM",3.629,74.5,49.2,0,2026-05-15T16:58:10.000Z,,,,,,,,,
"5/15/2026, 1:01:10 PM",3.629,74.5,50.8,0,2026-05-15T17:01:10.000Z,,,,,,,,,
"5/15/2026, 1:04:10 PM",3.629,74.5,53.1,0,2026-05-15T17:04:10.000Z,,,,,,,,,
"5/15/2026, 1:07:10 PM",3.629,74.5,55.9,0,2026-05-15T17:07:10.000Z,,,,,,,,,
"5/15/2026, 1:10:10 PM",3.63,74.5,58.6,0,2026-05-15T17:10:10.000Z,,,,,,,,,
"5/15/2026, 1:13:10 PM",3.629,74.3,61.1,0,2026-05-15T17:13:10.000Z,,,,,,,,,
"5/15/2026, 1:16:10 PM",3.63,73.9,63.1,0,2026-05-15T17:16:10.000Z,,,,,,,,,
"5/15/2026, 1:19:10 PM",3.63,73.8,64.9,0,2026-05-15T17:19:10.000Z,,,,,,,,,
"5/15/2026, 1:22:10 PM",3.629,73.6,66.4,0,2026-05-15T17:22:10.000Z,,,,,,,,,
"5/15/2026, 1:25:10 PM",3.63,73.6,67.7,0,2026-05-15T17:25:10.000Z,,,,,,,,,
"5/15/2026, 1:28:10 PM",3.63,73.2,68.9,0,2026-05-15T17:28:10.000Z,,,,,,,,,
"5/15/2026, 1:31:10 PM",3.63,73,69.9,0,2026-05-15T17:31:10.000Z,,,,,,,,,
"5/15/2026, 1:34:10 PM",3.63,72.9,70.8,0,2026-05-15T17:34:10.000Z,,,,,,,,,
"5/15/2026, 1:37:10 PM",3.63,72.7,71.7,0,2026-05-15T17:37:10.000Z,,,,,,,,,
