Instrument:,H2S-250510029
Time Zone Offset (Minutes):,-240
Orignal File Name:,"C:\Users\phil.bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dissertation\H2S-250510029_[3-16-2026, 2-12-59 PM --- 3-20-2026, 11-24-59 AM].acrudata"
Session ID:,63350
Session 1st Title:,"H2S-250510029_[3-16-2026, 2-12-59 PM --- 3-20-2026, 11-24-59 AM]"
Session 2nd Title:,Off On 3/16 til 3/20/26
Session Start:,"3/16/2026, 1:12:59 PM"
Session End:,"3/20/2026, 10:24:59 AM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"3/16/2026, 1:12:59 PM",3.62,65.7,41.3,0,2026-03-16T18:12:59.000Z
"3/16/2026, 1:15:59 PM",3.612,65.5,41.3,0,2026-03-16T18:15:59.000Z
"3/16/2026, 1:18:59 PM",3.615,63.1,40.7,0,2026-03-16T18:18:59.000Z
"3/16/2026, 1:21:59 PM",3.612,61.2,40.4,0,2026-03-16T18:21:59.000Z
"3/16/2026, 1:24:59 PM",3.612,59.5,40.7,0,2026-03-16T18:24:59.000Z
"3/16/2026, 1:27:59 PM",3.612,58.1,41.1,0,2026-03-16T18:27:59.000Z
"3/16/2026, 1:30:59 PM",3.613,56.8,41.7,0,2026-03-16T18:30:59.000Z
"3/16/2026, 1:33:59 PM",3.613,55.6,42.2,0,2026-03-16T18:33:59.000Z
"3/16/2026, 1:36:59 PM",3.613,54.7,42.9,0,2026-03-16T18:36:59.000Z
"3/16/2026, 1:39:59 PM",3.612,54,43.6,0,2026-03-16T18:39:59.000Z
"3/16/2026, 1:42:59 PM",3.612,53.2,44.3,0,2026-03-16T18:42:59.000Z
"3/16/2026, 1:45:59 PM",3.612,52.5,44.9,0,2026-03-16T18:45:59.000Z
"3/16/2026, 1:48:59 PM",3.612,52,45.7,0,2026-03-16T18:48:59.000Z
"3/16/2026, 1:51:59 PM",3.612,51.6,46.3,0,2026-03-16T18:51:59.000Z
"3/16/2026, 1:54:59 PM",3.611,51.3,47.2,0,2026-03-16T18:54:59.000Z
"3/16/2026, 1:57:59 PM",3.611,51.1,47.9,0,2026-03-16T18:57:59.000Z
"3/16/2026, 2:00:59 PM",3.611,50.9,48.8,0,2026-03-16T19:00:59.000Z
"3/16/2026, 2:03:59 PM",3.611,50.7,49.4,0,2026-03-16T19:03:59.000Z
"3/16/2026, 2:06:59 PM",3.61,50.5,50.1,0,2026-03-16T19:06:59.000Z
"3/16/2026, 2:09:59 PM",3.61,50.2,50.7,0,2026-03-16T19:09:59.000Z
"3/16/2026, 2:12:59 PM",3.61,50,51.2,0,2026-03-16T19:12:59.000Z
"3/16/2026, 2:15:59 PM",3.61,49.6,51.6,0,2026-03-16T19:15:59.000Z
"3/16/2026, 2:18:59 PM",3.61,49.6,52,0,2026-03-16T19:18:59.000Z
"3/16/2026, 2:21:59 PM",3.609,49.5,52.4,0,2026-03-16T19:21:59.000Z
"3/16/2026, 2:24:59 PM",3.609,49.5,52.9,0,2026-03-16T19:24:59.000Z
"3/16/2026, 2:27:59 PM",3.609,49.5,53.3,0,2026-03-16T19:27:59.000Z
"3/16/2026, 2:30:59 PM",3.609,49.6,53.8,0,2026-03-16T19:30:59.000Z
"3/16/2026, 2:33:59 PM",3.609,49.6,54.2,0,2026-03-16T19:33:59.000Z
"3/16/2026, 2:36:59 PM",3.608,49.6,54.6,0,2026-03-16T19:36:59.000Z
"3/16/2026, 2:39:59 PM",3.609,49.5,55,0,2026-03-16T19:39:59.000Z
"3/16/2026, 2:42:59 PM",3.608,49.6,55.3,0,2026-03-16T19:42:59.000Z
"3/16/2026, 2:45:59 PM",3.608,49.6,55.7,0,2026-03-16T19:45:59.000Z
"3/16/2026, 2:48:59 PM",3.608,49.6,56,0,2026-03-16T19:48:59.000Z
"3/16/2026, 2:51:59 PM",3.609,49.6,56.3,0,2026-03-16T19:51:59.000Z
"3/16/2026, 2:54:59 PM",3.608,49.5,56.5,0,2026-03-16T19:54:59.000Z
"3/16/2026, 2:57:59 PM",3.608,49.1,56.7,0,2026-03-16T19:57:59.000Z
"3/16/2026, 3:00:59 PM",3.608,48.9,56.9,0,2026-03-16T20:00:59.000Z
"3/16/2026, 3:03:59 PM",3.608,48.9,57.2,0,2026-03-16T20:03:59.000Z
"3/16/2026, 3:06:59 PM",3.608,48.9,57.5,0,2026-03-16T20:06:59.000Z
"3/16/2026, 3:09:59 PM",3.608,48.9,57.7,0,2026-03-16T20:09:59.000Z
"3/16/2026, 3:12:59 PM",3.607,48.7,57.9,0,2026-03-16T20:12:59.000Z
"3/16/2026, 3:15:59 PM",3.608,48.7,58,0,2026-03-16T20:15:59.000Z
"3/16/2026, 3:18:59 PM",3.607,48.6,58.3,0,2026-03-16T20:18:59.000Z
"3/16/2026, 3:21:59 PM",3.607,48.4,58.5,0,2026-03-16T20:21:59.000Z
"3/16/2026, 3:24:59 PM",3.607,48.4,58.7,0,2026-03-16T20:24:59.000Z
"3/16/2026, 3:27:59 PM",3.607,48.6,59.1,0,2026-03-16T20:27:59.000Z
"3/16/2026, 3:30:59 PM",3.608,48.6,59.4,0,2026-03-16T20:30:59.000Z
"3/16/2026, 3:33:59 PM",3.607,48.6,59.7,0,2026-03-16T20:33:59.000Z
"3/16/2026, 3:36:59 PM",3.607,48.7,60,0,2026-03-16T20:36:59.000Z
"3/16/2026, 3:39:59 PM",3.607,48.6,60.3,0,2026-03-16T20:39:59.000Z
"3/16/2026, 3:42:59 PM",3.607,48.4,60.5,0,2026-03-16T20:42:59.000Z
"3/16/2026, 3:45:59 PM",3.607,48.4,60.7,0,2026-03-16T20:45:59.000Z
"3/16/2026, 3:48:59 PM",3.607,48.4,61,0,2026-03-16T20:48:59.000Z
"3/16/2026, 3:51:59 PM",3.607,48.4,61.2,0,2026-03-16T20:51:59.000Z
"3/16/2026, 3:54:59 PM",3.607,48.4,61.4,0,2026-03-16T20:54:59.000Z
"3/16/2026, 3:57:59 PM",3.607,48.4,61.7,0,2026-03-16T20:57:59.000Z
"3/16/2026, 4:00:59 PM",3.607,48.4,61.9,0,2026-03-16T21:00:59.000Z
"3/16/2026, 4:03:59 PM",3.607,48.7,62.1,0,2026-03-16T21:03:59.000Z
"3/16/2026, 4:06:59 PM",3.607,48.9,62.3,0,2026-03-16T21:06:59.000Z
"3/16/2026, 4:09:59 PM",3.606,48.7,62.4,0,2026-03-16T21:09:59.000Z
"3/16/2026, 4:12:59 PM",3.606,48.4,62.6,0,2026-03-16T21:12:59.000Z
"3/16/2026, 4:15:59 PM",3.607,48.4,62.6,0,2026-03-16T21:15:59.000Z
"3/16/2026, 4:18:59 PM",3.606,48.4,62.7,0,2026-03-16T21:18:59.000Z
"3/16/2026, 4:21:59 PM",3.607,48,62.9,0,2026-03-16T21:21:59.000Z
"3/16/2026, 4:24:59 PM",3.607,47.8,62.9,0,2026-03-16T21:24:59.000Z
"3/16/2026, 4:27:59 PM",3.607,47.7,63,0,2026-03-16T21:27:59.000Z
"3/16/2026, 4:30:59 PM",3.607,47.5,63.1,0,2026-03-16T21:30:59.000Z
"3/16/2026, 4:33:59 PM",3.607,47.1,63.2,0,2026-03-16T21:33:59.000Z
"3/16/2026, 4:36:59 PM",3.606,46.9,63.4,0,2026-03-16T21:36:59.000Z
"3/16/2026, 4:39:59 PM",3.606,46.6,63.5,0,2026-03-16T21:39:59.000Z
"3/16/2026, 4:42:59 PM",3.606,46.4,63.7,0,2026-03-16T21:42:59.000Z
"3/16/2026, 4:45:59 PM",3.606,46.2,63.9,0,2026-03-16T21:45:59.000Z
"3/16/2026, 4:48:59 PM",3.606,46,64.1,0,2026-03-16T21:48:59.000Z
"3/16/2026, 4:51:59 PM",3.606,45.9,64.3,0,2026-03-16T21:51:59.000Z
"3/16/2026, 4:54:59 PM",3.606,45.7,64.5,0,2026-03-16T21:54:59.000Z
"3/16/2026, 4:57:59 PM",3.606,45.5,64.6,0,2026-03-16T21:57:59.000Z
"3/16/2026, 5:00:59 PM",3.606,45.3,64.7,0,2026-03-16T22:00:59.000Z
"3/16/2026, 5:03:59 PM",3.606,45.1,64.8,0,2026-03-16T22:03:59.000Z
"3/16/2026, 5:06:59 PM",3.606,45.1,64.9,0,2026-03-16T22:06:59.000Z
"3/16/2026, 5:09:59 PM",3.606,45,65,0,2026-03-16T22:09:59.000Z
"3/16/2026, 5:12:59 PM",3.605,45,65.1,0,2026-03-16T22:12:59.000Z
"3/16/2026, 5:15:59 PM",3.605,44.8,65.2,0,2026-03-16T22:15:59.000Z
"3/16/2026, 5:18:59 PM",3.606,44.8,65.3,0,2026-03-16T22:18:59.000Z
"3/16/2026, 5:21:59 PM",3.605,44.6,65.3,0,2026-03-16T22:21:59.000Z
"3/16/2026, 5:24:59 PM",3.605,44.4,65.4,0,2026-03-16T22:24:59.000Z
"3/16/2026, 5:27:59 PM",3.605,44.2,65.5,0,2026-03-16T22:27:59.000Z
"3/16/2026, 5:30:59 PM",3.605,44.1,65.5,0,2026-03-16T22:30:59.000Z
"3/16/2026, 5:33:59 PM",3.605,43.9,65.6,0,2026-03-16T22:33:59.000Z
"3/16/2026, 5:36:59 PM",3.605,43.5,65.6,0,2026-03-16T22:36:59.000Z
"3/16/2026, 5:39:59 PM",3.605,43.3,65.8,0,2026-03-16T22:39:59.000Z
"3/16/2026, 5:42:59 PM",3.605,43.3,65.9,0,2026-03-16T22:42:59.000Z
"3/16/2026, 5:45:59 PM",3.605,43.2,66,0,2026-03-16T22:45:59.000Z
"3/16/2026, 5:48:59 PM",3.605,43,66.1,0,2026-03-16T22:48:59.000Z
"3/16/2026, 5:51:59 PM",3.605,42.6,66.3,0,2026-03-16T22:51:59.000Z
"3/16/2026, 5:54:59 PM",3.605,42.4,66.3,0,2026-03-16T22:54:59.000Z
"3/16/2026, 5:57:59 PM",3.606,42.4,66.5,0,2026-03-16T22:57:59.000Z
"3/16/2026, 6:00:59 PM",3.605,42.3,66.6,0,2026-03-16T23:00:59.000Z
"3/16/2026, 6:03:59 PM",3.605,42.3,66.8,0,2026-03-16T23:03:59.000Z
"3/16/2026, 6:06:59 PM",3.606,42.1,66.9,0,2026-03-16T23:06:59.000Z
"3/16/2026, 6:09:59 PM",3.605,42.1,67,0,2026-03-16T23:09:59.000Z
"3/16/2026, 6:12:59 PM",3.606,41.9,67.1,0,2026-03-16T23:12:59.000Z
"3/16/2026, 6:15:59 PM",3.606,41.7,67.3,0,2026-03-16T23:15:59.000Z
"3/16/2026, 6:18:59 PM",3.606,41.7,67.4,0,2026-03-16T23:18:59.000Z
"3/16/2026, 6:21:59 PM",3.606,41.5,67.5,0,2026-03-16T23:21:59.000Z
"3/16/2026, 6:24:59 PM",3.606,41.5,67.6,0,2026-03-16T23:24:59.000Z
"3/16/2026, 6:27:59 PM",3.606,41.5,67.7,0,2026-03-16T23:27:59.000Z
"3/16/2026, 6:30:59 PM",3.605,41.4,67.9,0,2026-03-16T23:30:59.000Z
"3/16/2026, 6:33:59 PM",3.606,41.4,68,0,2026-03-16T23:33:59.000Z
"3/16/2026, 6:36:59 PM",3.606,41.4,68.2,0,2026-03-16T23:36:59.000Z
"3/16/2026, 6:39:59 PM",3.606,41.4,68.3,0,2026-03-16T23:39:59.000Z
"3/16/2026, 6:42:59 PM",3.605,41.4,68.4,0,2026-03-16T23:42:59.000Z
"3/16/2026, 6:45:59 PM",3.605,41.2,68.5,0,2026-03-16T23:45:59.000Z
"3/16/2026, 6:48:59 PM",3.606,41.2,68.7,0,2026-03-16T23:48:59.000Z
"3/16/2026, 6:51:59 PM",3.605,41.2,68.8,0,2026-03-16T23:51:59.000Z
"3/16/2026, 6:54:59 PM",3.606,41.2,68.9,0,2026-03-16T23:54:59.000Z
"3/16/2026, 6:57:59 PM",3.605,41.2,69,0,2026-03-16T23:57:59.000Z
"3/16/2026, 7:00:59 PM",3.605,41.2,69.1,0,2026-03-17T00:00:59.000Z
