Instrument:,H2S-230807479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID:,13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 1st Title:,phils 06-03 to 07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Start:,"6/3/2024, 12:17:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session End:,"7/1/2024, 1:12:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Every 5 mins,,,,,,,,,Every 3 mins,,,,,,,,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,NH3,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:17:27 PM",3.649,73.4,63.9,0,2024-06-03T16:17:27.000Z,,,,"6/3/2024, 12:18:27 PM",3.652,73.2,83.5,0,2024-06-03T16:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:22:27 PM",3.649,75.4,64.1,0,2024-06-03T16:22:27.000Z,,,,"6/3/2024, 12:21:27 PM",3.655,73.4,83.5,0,2024-06-03T16:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:27:27 PM",3.649,81.1,64.8,0,2024-06-03T16:27:27.000Z,,,,"6/3/2024, 12:24:27 PM",3.655,73.9,83.6,0,2024-06-03T16:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:32:27 PM",3.649,85.1,66,0,2024-06-03T16:32:27.000Z,,,,"6/3/2024, 12:27:27 PM",3.655,75.2,83.7,0,2024-06-03T16:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:37:27 PM",3.649,87.6,67.4,0,2024-06-03T16:37:27.000Z,,,,"6/3/2024, 12:30:27 PM",3.655,77.7,84.1,0,2024-06-03T16:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:42:27 PM",3.649,89.6,68.7,0,2024-06-03T16:42:27.000Z,,,,"6/3/2024, 12:33:27 PM",3.654,80.2,84.4,5,2024-06-03T16:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:47:27 PM",3.649,91.4,69.8,0,2024-06-03T16:47:27.000Z,,,,"6/3/2024, 12:36:27 PM",3.654,82.2,84.6,8,2024-06-03T16:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:52:27 PM",3.649,92.8,70.7,0,2024-06-03T16:52:27.000Z,,,,"6/3/2024, 12:39:27 PM",3.654,84,84.8,11,2024-06-03T16:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 12:57:27 PM",3.649,94.5,71.5,0,2024-06-03T16:57:27.000Z,,,,"6/3/2024, 12:42:27 PM",3.654,85.3,84.9,15,2024-06-03T16:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 1:02:27 PM",3.649,95.9,72.2,0,2024-06-03T17:02:27.000Z,,,,"6/3/2024, 12:45:27 PM",3.654,86.5,85.1,19,2024-06-03T16:45:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 1:07:27 PM",3.649,97,72.7,0,2024-06-03T17:07:27.000Z,,,,"6/3/2024, 12:48:27 PM",3.654,87.8,85.3,22,2024-06-03T16:48:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 1:12:27 PM",3.649,97.5,73.1,0,2024-06-03T17:12:27.000Z,,,,"6/3/2024, 12:51:27 PM",3.654,88.7,85.4,26,2024-06-03T16:51:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 1:17:27 PM",3.649,98.4,73.4,0,2024-06-03T17:17:27.000Z,,,,"6/3/2024, 12:54:27 PM",3.654,89.4,85.5,29,2024-06-03T16:54:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 1:22:27 PM",3.649,98.4,73.7,0,2024-06-03T17:22:27.000Z,,,,"6/3/2024, 12:57:27 PM",3.654,90.1,85.6,30,2024-06-03T16:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
