Instrument:,,,,,NH3-211205141,,,
Name:,,,,,Biosolids Dewatering,,,
Time Zone Offset (Minutes):,,,,,-300,,,
Orignal File Name:,,,,,"C:\Users\Phil.Bennington\Documents\Aculog NH3\NH3-Surge Tank_211205141_1_8_2024, 9_14_36 AM --- 1_31_2024, 1_17_36 PM.acrudata",,,
Session ID:,,,,,6523,,,
Session 1st Title:,,,,,"NH3-Surge Tank_211205141_1_8_2024, 9_14_36 AM --- 1_31_2024, 1_17_36 PM",,,
Session Start:,,,,,"1/8/2024, 9:14:36 AM",,,
Session End:,,,,,"1/31/2024, 1:17:36 PM",,,
,,,,,,,,
Time Stamp,NH3 (PPM),Temperature (°F),Humidity (%),,Battery (Volts),,,ISO time
"1/8/2024, 9:14:36 AM",0,72.5,58.3,,3.664,,,2024-01-08T14:14:36.000Z
"1/8/2024, 9:17:36 AM",0,72.9,58.4,,3.665,,,2024-01-08T14:17:36.000Z
"1/8/2024, 9:20:36 AM",0,72.3,58.3,,3.664,,,2024-01-08T14:20:36.000Z
"1/8/2024, 9:23:36 AM",0,71.2,58.2,,3.664,,,2024-01-08T14:23:36.000Z
"1/8/2024, 9:26:36 AM",0,70.9,58.2,,3.664,,,2024-01-08T14:26:36.000Z
"1/8/2024, 9:29:36 AM",0,70.7,58.2,,3.664,,,2024-01-08T14:29:36.000Z
"1/8/2024, 9:32:36 AM",0,70.5,58.2,,3.664,,,2024-01-08T14:32:36.000Z
"1/8/2024, 9:35:36 AM",1,70.5,58.3,,3.663,,,2024-01-08T14:35:36.000Z
"1/8/2024, 9:38:36 AM",1,70.5,58.3,,3.664,,,2024-01-08T14:38:36.000Z
"1/8/2024, 9:41:36 AM",1,70.5,58.3,,3.663,,,2024-01-08T14:41:36.000Z
"1/8/2024, 9:44:36 AM",1,70.5,58.4,,3.664,,,2024-01-08T14:44:36.000Z
"1/8/2024, 9:47:36 AM",1,70.5,58.5,,3.664,,,2024-01-08T14:47:36.000Z
"1/8/2024, 9:50:36 AM",1,70.7,58.6,,3.664,,,2024-01-08T14:50:36.000Z
"1/8/2024, 9:53:36 AM",2,70.7,58.7,,3.663,,,2024-01-08T14:53:36.000Z
"1/8/2024, 9:56:36 AM",2,70.7,58.8,,3.664,,,2024-01-08T14:56:36.000Z
"1/8/2024, 9:59:36 AM",2,70.5,59,,3.663,,,2024-01-08T14:59:36.000Z
"1/8/2024, 10:02:36 AM",2,70.5,59.1,,3.664,,,2024-01-08T15:02:36.000Z
"1/8/2024, 10:05:36 AM",2,70.5,59.2,,3.664,,,2024-01-08T15:05:36.000Z
"1/8/2024, 10:08:36 AM",2,70.5,59.4,,3.664,,,2024-01-08T15:08:36.000Z
"1/8/2024, 10:11:36 AM",3,70.7,59.5,,3.664,,,2024-01-08T15:11:36.000Z
"1/8/2024, 10:14:36 AM",3,70.7,59.7,,3.664,,,2024-01-08T15:14:36.000Z
"1/8/2024, 10:17:36 AM",3,70.9,59.9,,3.663,,,2024-01-08T15:17:36.000Z
"1/8/2024, 10:20:36 AM",3,70.9,60,,3.663,,,2024-01-08T15:20:36.000Z
"1/8/2024, 10:23:36 AM",3,71.1,60.2,,3.664,,,2024-01-08T15:23:36.000Z
"1/8/2024, 10:26:36 AM",3,71.1,60.4,,3.663,,,2024-01-08T15:26:36.000Z
"1/8/2024, 10:29:36 AM",3,71.2,60.5,,3.663,,,2024-01-08T15:29:36.000Z
"1/8/2024, 10:32:36 AM",3,71.2,60.7,,3.664,,,2024-01-08T15:32:36.000Z
"1/8/2024, 10:35:36 AM",4,71.2,60.8,,3.663,,,2024-01-08T15:35:36.000Z
"1/8/2024, 10:38:36 AM",4,71.4,61,,3.663,,,2024-01-08T15:38:36.000Z
"1/8/2024, 10:41:36 AM",4,71.4,61.2,,3.664,,,2024-01-08T15:41:36.000Z
"1/8/2024, 10:44:36 AM",4,71.4,61.3,,3.663,,,2024-01-08T15:44:36.000Z
"1/8/2024, 10:47:36 AM",4,71.4,61.5,,3.663,,,2024-01-08T15:47:36.000Z
"1/8/2024, 10:50:36 AM",4,71.4,61.6,,3.663,,,2024-01-08T15:50:36.000Z
"1/8/2024, 10:53:36 AM",4,71.6,61.8,,3.663,,,2024-01-08T15:53:36.000Z
"1/8/2024, 10:56:36 AM",5,71.6,61.9,,3.664,,,2024-01-08T15:56:36.000Z
"1/8/2024, 10:59:36 AM",5,71.6,62.1,,3.664,,,2024-01-08T15:59:36.000Z
"1/8/2024, 11:02:36 AM",5,71.6,62.2,,3.664,,,2024-01-08T16:02:36.000Z
"1/8/2024, 11:05:36 AM",5,71.6,62.4,,3.663,,,2024-01-08T16:05:36.000Z
"1/8/2024, 11:08:36 AM",5,71.6,62.5,,3.663,,,2024-01-08T16:08:36.000Z
"1/8/2024, 11:11:36 AM",5,71.6,62.7,,3.664,,,2024-01-08T16:11:36.000Z
"1/8/2024, 11:14:36 AM",5,71.6,62.8,,3.663,,,2024-01-08T16:14:36.000Z
"1/8/2024, 11:17:36 AM",5,71.4,62.9,,3.664,,,2024-01-08T16:17:36.000Z
"1/8/2024, 11:20:36 AM",6,71.4,63,,3.663,,,2024-01-08T16:20:36.000Z
"1/8/2024, 11:23:36 AM",6,71.4,63.1,,3.663,,,2024-01-08T16:23:36.000Z
"1/8/2024, 11:26:36 AM",6,71.2,63.3,,3.664,,,2024-01-08T16:26:36.000Z
"1/8/2024, 11:29:36 AM",6,71.2,63.4,,3.663,,,2024-01-08T16:29:36.000Z
"1/8/2024, 11:32:36 AM",6,71.2,63.5,,3.663,,,2024-01-08T16:32:36.000Z
"1/8/2024, 11:35:36 AM",6,71.1,63.6,,3.663,,,2024-01-08T16:35:36.000Z
"1/8/2024, 11:38:36 AM",6,71.1,63.8,,3.664,,,2024-01-08T16:38:36.000Z
"1/8/2024, 11:41:36 AM",6,71.1,63.9,,3.663,,,2024-01-08T16:41:36.000Z
"1/8/2024, 11:44:36 AM",6,71.1,64,,3.664,,,2024-01-08T16:44:36.000Z
"1/8/2024, 11:47:36 AM",6,71.1,64.1,,3.663,,,2024-01-08T16:47:36.000Z
"1/8/2024, 11:50:36 AM",6,71.1,64.2,,3.663,,,2024-01-08T16:50:36.000Z
"1/8/2024, 11:53:36 AM",6,71.1,64.3,,3.664,,,2024-01-08T16:53:36.000Z
"1/8/2024, 11:56:36 AM",6,71.1,64.5,,3.663,,,2024-01-08T16:56:36.000Z
"1/8/2024, 11:59:36 AM",6,71.1,64.6,,3.664,,,2024-01-08T16:59:36.000Z
"1/8/2024, 12:02:36 PM",6,70.9,64.7,,3.663,,,2024-01-08T17:02:36.000Z
"1/8/2024, 12:05:36 PM",6,70.9,64.8,,3.663,,,2024-01-08T17:05:36.000Z
"1/8/2024, 12:08:36 PM",6,70.9,64.9,,3.664,,,2024-01-08T17:08:36.000Z
"1/8/2024, 12:11:36 PM",6,70.9,65,,3.663,,,2024-01-08T17:11:36.000Z
"1/8/2024, 12:14:36 PM",6,70.9,65.1,,3.663,,,2024-01-08T17:14:36.000Z
"1/8/2024, 12:17:36 PM",6,70.9,65.2,,3.664,,,2024-01-08T17:17:36.000Z
"1/8/2024, 12:20:36 PM",6,70.9,65.3,,3.664,,,2024-01-08T17:20:36.000Z
"1/8/2024, 12:23:36 PM",6,70.9,65.4,,3.663,,,2024-01-08T17:23:36.000Z
"1/8/2024, 12:26:36 PM",6,70.9,65.5,,3.663,,,2024-01-08T17:26:36.000Z
"1/8/2024, 12:29:36 PM",6,70.7,65.6,,3.663,,,2024-01-08T17:29:36.000Z
"1/8/2024, 12:32:36 PM",6,70.7,65.6,,3.663,,,2024-01-08T17:32:36.000Z
"1/8/2024, 12:35:36 PM",6,70.5,65.7,,3.663,,,2024-01-08T17:35:36.000Z
"1/8/2024, 12:38:36 PM",6,70.5,65.8,,3.664,,,2024-01-08T17:38:36.000Z
"1/8/2024, 12:41:36 PM",6,70.7,65.9,,3.663,,,2024-01-08T17:41:36.000Z
"1/8/2024, 12:44:36 PM",6,70.7,66,,3.663,,,2024-01-08T17:44:36.000Z
"1/8/2024, 12:47:36 PM",6,70.7,66.1,,3.663,,,2024-01-08T17:47:36.000Z
"1/8/2024, 12:50:36 PM",6,70.7,66.2,,3.664,,,2024-01-08T17:50:36.000Z
"1/8/2024, 12:53:36 PM",6,70.7,66.3,,3.664,,,2024-01-08T17:53:36.000Z
"1/8/2024, 12:56:36 PM",6,70.7,66.3,,3.663,,,2024-01-08T17:56:36.000Z
"1/8/2024, 12:59:36 PM",6,70.7,66.4,,3.663,,,2024-01-08T17:59:36.000Z
"1/8/2024, 1:02:36 PM",6,70.9,66.5,,3.663,,,2024-01-08T18:02:36.000Z
