Instrument:,NH3-211205141,,,,
Name:,Biosolids Dewatering,,,,
Time Zone Offset (Minutes):,-300,,,,
Orignal File Name:,"C:\Users\Phil.Bennington\Documents\Aculog NH3\NH3-211205141_5_19_2022, 1_42_12 PM --- 5_31_2022, 8_12_12 AM.acrudata",,,,
Session ID:,31028,,,,
Session 1st Title:,"NH3-211205141_5_19_2022, 1_42_12 PM --- 5_31_2022, 8_12_12 AM",,,,
Session Start:,"5/19/2022, 12:42:12 PM",,,,
Session End:,"5/31/2022, 7:12:12 AM",,,,
,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time
"5/19/2022, 12:42:12 PM",3.651,73,57.3,0,2022-05-19T17:42:12.000Z
"5/19/2022, 12:45:12 PM",3.651,73.2,57.3,0,2022-05-19T17:45:12.000Z
"5/19/2022, 12:48:12 PM",3.651,73.6,57.3,0,2022-05-19T17:48:12.000Z
"5/19/2022, 12:51:12 PM",3.651,74.1,57.4,3,2022-05-19T17:51:12.000Z
"5/19/2022, 12:54:12 PM",3.651,75.4,57.8,25,2022-05-19T17:54:12.000Z
"5/19/2022, 12:57:12 PM",3.651,76.8,58.4,29,2022-05-19T17:57:12.000Z
"5/19/2022, 1:00:12 PM",3.65,78.1,59,28,2022-05-19T18:00:12.000Z
"5/19/2022, 1:03:12 PM",3.65,79.2,59.7,30,2022-05-19T18:03:12.000Z
"5/19/2022, 1:06:12 PM",3.65,80.1,60.3,32,2022-05-19T18:06:12.000Z
"5/19/2022, 1:09:12 PM",3.65,80.8,60.9,32,2022-05-19T18:09:12.000Z
"5/19/2022, 1:12:12 PM",3.65,81.5,61.5,32,2022-05-19T18:12:12.000Z
"5/19/2022, 1:15:12 PM",3.65,82.2,62.1,32,2022-05-19T18:15:12.000Z
"5/19/2022, 1:18:12 PM",3.65,82.8,62.7,33,2022-05-19T18:18:12.000Z
"5/19/2022, 1:21:12 PM",3.65,83.3,63.2,35,2022-05-19T18:21:12.000Z
"5/19/2022, 1:24:12 PM",3.65,83.7,63.7,36,2022-05-19T18:24:12.000Z
"5/19/2022, 1:27:12 PM",3.65,84.2,64.3,38,2022-05-19T18:27:12.000Z
"5/19/2022, 1:30:12 PM",3.65,84.6,64.8,36,2022-05-19T18:30:12.000Z
"5/19/2022, 1:33:12 PM",3.65,84.9,65.3,36,2022-05-19T18:33:12.000Z
"5/19/2022, 1:36:12 PM",3.65,85.3,65.7,37,2022-05-19T18:36:12.000Z
"5/19/2022, 1:39:12 PM",3.65,85.6,66.2,39,2022-05-19T18:39:12.000Z
"5/19/2022, 1:42:12 PM",3.65,85.8,66.6,40,2022-05-19T18:42:12.000Z
"5/19/2022, 1:45:12 PM",3.65,86.2,67,39,2022-05-19T18:45:12.000Z
"5/19/2022, 1:48:12 PM",3.65,86.4,67.3,40,2022-05-19T18:48:12.000Z
"5/19/2022, 1:51:12 PM",3.65,86.5,67.7,40,2022-05-19T18:51:12.000Z
"5/19/2022, 1:54:12 PM",3.65,86.9,68,39,2022-05-19T18:54:12.000Z
"5/19/2022, 1:57:12 PM",3.65,87.1,68.3,39,2022-05-19T18:57:12.000Z
"5/19/2022, 2:00:12 PM",3.65,87.3,68.6,38,2022-05-19T19:00:12.000Z
"5/19/2022, 2:03:12 PM",3.65,87.4,68.8,39,2022-05-19T19:03:12.000Z
"5/19/2022, 2:06:12 PM",3.65,87.6,69.1,41,2022-05-19T19:06:12.000Z
"5/19/2022, 2:09:12 PM",3.65,87.8,69.4,43,2022-05-19T19:09:12.000Z
"5/19/2022, 2:12:12 PM",3.65,88,69.6,44,2022-05-19T19:12:12.000Z
"5/19/2022, 2:15:12 PM",3.65,88.3,69.9,43,2022-05-19T19:15:12.000Z
"5/19/2022, 2:18:12 PM",3.65,88.5,70.1,43,2022-05-19T19:18:12.000Z
"5/19/2022, 2:21:12 PM",3.65,88.7,70.3,43,2022-05-19T19:21:12.000Z
"5/19/2022, 2:24:12 PM",3.65,88.9,70.5,46,2022-05-19T19:24:12.000Z
"5/19/2022, 2:27:12 PM",3.65,88.9,70.7,43,2022-05-19T19:27:12.000Z
"5/19/2022, 2:30:12 PM",3.65,89.2,70.9,46,2022-05-19T19:30:12.000Z
"5/19/2022, 2:33:12 PM",3.651,89.4,71.1,46,2022-05-19T19:33:12.000Z
"5/19/2022, 2:36:12 PM",3.65,89.6,71.3,48,2022-05-19T19:36:12.000Z
"5/19/2022, 2:39:12 PM",3.65,89.8,71.4,46,2022-05-19T19:39:12.000Z
"5/19/2022, 2:42:12 PM",3.65,90,71.6,47,2022-05-19T19:42:12.000Z
"5/19/2022, 2:45:12 PM",3.65,90.1,71.8,50,2022-05-19T19:45:12.000Z
"5/19/2022, 2:48:12 PM",3.651,90.3,71.9,49,2022-05-19T19:48:12.000Z
"5/19/2022, 2:51:12 PM",3.65,90.5,72.1,49,2022-05-19T19:51:12.000Z
"5/19/2022, 2:54:12 PM",3.65,90.7,72.2,49,2022-05-19T19:54:12.000Z
"5/19/2022, 2:57:12 PM",3.65,90.9,72.4,47,2022-05-19T19:57:12.000Z
"5/19/2022, 3:00:12 PM",3.651,90.9,72.6,50,2022-05-19T20:00:12.000Z
"5/19/2022, 3:03:12 PM",3.65,91,72.7,49,2022-05-19T20:03:12.000Z
"5/19/2022, 3:06:12 PM",3.65,91.2,72.8,48,2022-05-19T20:06:12.000Z
"5/19/2022, 3:09:12 PM",3.65,91.4,73,47,2022-05-19T20:09:12.000Z
"5/19/2022, 3:12:12 PM",3.651,91.4,73.1,48,2022-05-19T20:12:12.000Z
"5/19/2022, 3:15:12 PM",3.651,91.6,73.2,49,2022-05-19T20:15:12.000Z
"5/19/2022, 3:18:12 PM",3.65,91.6,73.3,47,2022-05-19T20:18:12.000Z
"5/19/2022, 3:21:12 PM",3.651,91.8,73.4,49,2022-05-19T20:21:12.000Z
"5/19/2022, 3:24:12 PM",3.651,91.8,73.6,48,2022-05-19T20:24:12.000Z
"5/19/2022, 3:27:12 PM",3.651,91.8,73.7,50,2022-05-19T20:27:12.000Z
"5/19/2022, 3:30:12 PM",3.651,91.8,73.8,49,2022-05-19T20:30:12.000Z
"5/19/2022, 3:33:12 PM",3.651,91.9,73.9,50,2022-05-19T20:33:12.000Z
"5/19/2022, 3:36:12 PM",3.651,91.9,74,49,2022-05-19T20:36:12.000Z
"5/19/2022, 3:39:12 PM",3.651,91.9,74.1,46,2022-05-19T20:39:12.000Z
"5/19/2022, 3:42:12 PM",3.651,92.1,74.2,45,2022-05-19T20:42:12.000Z
"5/19/2022, 3:45:12 PM",3.651,92.1,74.3,42,2022-05-19T20:45:12.000Z
"5/19/2022, 3:48:12 PM",3.651,92.1,74.4,42,2022-05-19T20:48:12.000Z
"5/19/2022, 3:51:12 PM",3.651,92.3,74.5,41,2022-05-19T20:51:12.000Z
"5/19/2022, 3:54:12 PM",3.651,92.3,74.6,42,2022-05-19T20:54:12.000Z
"5/19/2022, 3:57:12 PM",3.651,92.5,74.7,45,2022-05-19T20:57:12.000Z
"5/19/2022, 4:00:12 PM",3.651,92.5,74.8,46,2022-05-19T21:00:12.000Z
"5/19/2022, 4:03:12 PM",3.652,92.7,74.9,47,2022-05-19T21:03:12.000Z
"5/19/2022, 4:06:12 PM",3.651,92.8,75,46,2022-05-19T21:06:12.000Z
"5/19/2022, 4:09:12 PM",3.652,92.8,75.1,47,2022-05-19T21:09:12.000Z
"5/19/2022, 4:12:12 PM",3.652,92.8,75.2,45,2022-05-19T21:12:12.000Z
"5/19/2022, 4:15:12 PM",3.651,93,75.3,45,2022-05-19T21:15:12.000Z
"5/19/2022, 4:18:12 PM",3.652,93,75.4,47,2022-05-19T21:18:12.000Z
"5/19/2022, 4:21:12 PM",3.651,93.2,75.4,46,2022-05-19T21:21:12.000Z
"5/19/2022, 4:24:12 PM",3.652,93.2,75.5,46,2022-05-19T21:24:12.000Z
"5/19/2022, 4:27:12 PM",3.652,93.2,75.6,45,2022-05-19T21:27:12.000Z
"5/19/2022, 4:30:12 PM",3.652,93.2,75.7,43,2022-05-19T21:30:12.000Z
"5/19/2022, 4:33:12 PM",3.652,93.2,75.7,45,2022-05-19T21:33:12.000Z
"5/19/2022, 4:36:12 PM",3.652,93,75.9,45,2022-05-19T21:36:12.000Z
"5/19/2022, 4:39:12 PM",3.652,93,75.9,46,2022-05-19T21:39:12.000Z
"5/19/2022, 4:42:12 PM",3.652,93,76,46,2022-05-19T21:42:12.000Z
"5/19/2022, 4:45:12 PM",3.652,92.8,76.1,46,2022-05-19T21:45:12.000Z
"5/19/2022, 4:48:12 PM",3.652,92.8,76.2,46,2022-05-19T21:48:12.000Z
"5/19/2022, 4:51:12 PM",3.652,92.8,76.3,44,2022-05-19T21:51:12.000Z
"5/19/2022, 4:54:12 PM",3.652,92.7,76.3,42,2022-05-19T21:54:12.000Z
"5/19/2022, 4:57:12 PM",3.653,92.5,76.4,44,2022-05-19T21:57:12.000Z
"5/19/2022, 5:00:12 PM",3.652,92.5,76.5,41,2022-05-19T22:00:12.000Z
"5/19/2022, 5:03:12 PM",3.652,92.3,76.6,41,2022-05-19T22:03:12.000Z
"5/19/2022, 5:06:12 PM",3.653,92.1,76.7,43,2022-05-19T22:06:12.000Z
"5/19/2022, 5:09:12 PM",3.653,91.9,76.8,43,2022-05-19T22:09:12.000Z
"5/19/2022, 5:12:12 PM",3.653,91.9,76.9,42,2022-05-19T22:12:12.000Z
"5/19/2022, 5:15:12 PM",3.653,91.8,76.9,43,2022-05-19T22:15:12.000Z
"5/19/2022, 5:18:12 PM",3.653,91.6,77,43,2022-05-19T22:18:12.000Z
"5/19/2022, 5:21:12 PM",3.653,91.4,77.1,40,2022-05-19T22:21:12.000Z
"5/19/2022, 5:24:12 PM",3.653,91.2,77.2,39,2022-05-19T22:24:12.000Z
"5/19/2022, 5:27:12 PM",3.653,91.2,77.3,39,2022-05-19T22:27:12.000Z
"5/19/2022, 5:30:12 PM",3.653,91,77.3,39,2022-05-19T22:30:12.000Z
"5/19/2022, 5:33:12 PM",3.653,90.9,77.4,37,2022-05-19T22:33:12.000Z
"5/19/2022, 5:36:12 PM",3.654,90.7,77.5,38,2022-05-19T22:36:12.000Z
"5/19/2022, 5:39:12 PM",3.654,90.5,77.6,37,2022-05-19T22:39:12.000Z
"5/19/2022, 5:42:12 PM",3.654,90.3,77.6,37,2022-05-19T22:42:12.000Z
"5/19/2022, 5:45:12 PM",3.654,90.1,77.7,39,2022-05-19T22:45:12.000Z
"5/19/2022, 5:48:12 PM",3.654,90,77.8,37,2022-05-19T22:48:12.000Z
"5/19/2022, 5:51:12 PM",3.654,89.8,77.9,37,2022-05-19T22:51:12.000Z
"5/19/2022, 5:54:12 PM",3.654,89.6,78,37,2022-05-19T22:54:12.000Z
"5/19/2022, 5:57:12 PM",3.654,89.4,78,37,2022-05-19T22:57:12.000Z
"5/19/2022, 6:00:12 PM",3.654,89.2,78.1,36,2022-05-19T23:00:12.000Z
"5/19/2022, 6:03:12 PM",3.654,89.1,78.1,34,2022-05-19T23:03:12.000Z
"5/19/2022, 6:06:12 PM",3.654,88.9,78.3,36,2022-05-19T23:06:12.000Z
"5/19/2022, 6:09:12 PM",3.654,88.9,78.3,37,2022-05-19T23:09:12.000Z
"5/19/2022, 6:12:12 PM",3.654,88.7,78.4,37,2022-05-19T23:12:12.000Z
"5/19/2022, 6:15:12 PM",3.654,88.5,78.4,39,2022-05-19T23:15:12.000Z
"5/19/2022, 6:18:12 PM",3.655,88.3,78.5,39,2022-05-19T23:18:12.000Z
"5/19/2022, 6:21:12 PM",3.655,88.2,78.6,39,2022-05-19T23:21:12.000Z
"5/19/2022, 6:24:12 PM",3.655,88,78.7,39,2022-05-19T23:24:12.000Z
"5/19/2022, 6:27:12 PM",3.654,87.8,78.7,39,2022-05-19T23:27:12.000Z
"5/19/2022, 6:30:12 PM",3.655,87.8,78.8,39,2022-05-19T23:30:12.000Z
"5/19/2022, 6:33:12 PM",3.655,87.6,78.9,39,2022-05-19T23:33:12.000Z
"5/19/2022, 6:36:12 PM",3.655,87.4,79,39,2022-05-19T23:36:12.000Z
"5/19/2022, 6:39:12 PM",3.655,87.3,79,39,2022-05-19T23:39:12.000Z
"5/19/2022, 6:42:12 PM",3.655,87.1,79.1,39,2022-05-19T23:42:12.000Z
"5/19/2022, 6:45:12 PM",3.655,86.9,79.1,39,2022-05-19T23:45:12.000Z
"5/19/2022, 6:48:12 PM",3.655,86.7,79.2,38,2022-05-19T23:48:12.000Z
"5/19/2022, 6:51:12 PM",3.655,86.7,79.3,38,2022-05-19T23:51:12.000Z
"5/19/2022, 6:54:12 PM",3.655,86.5,79.3,37,2022-05-19T23:54:12.000Z
"5/19/2022, 6:57:12 PM",3.655,86.4,79.4,39,2022-05-19T23:57:12.000Z
"5/19/2022, 7:00:12 PM",3.655,86.2,79.4,38,2022-05-20T00:00:12.000Z
"5/19/2022, 7:03:12 PM",3.655,86,79.5,38,2022-05-20T00:03:12.000Z
"5/19/2022, 7:06:12 PM",3.655,86,79.6,38,2022-05-20T00:06:12.000Z
"5/19/2022, 7:09:12 PM",3.655,85.8,79.7,38,2022-05-20T00:09:12.000Z
"5/19/2022, 7:12:12 PM",3.656,85.6,79.7,37,2022-05-20T00:12:12.000Z
"5/19/2022, 7:15:12 PM",3.655,85.6,79.8,36,2022-05-20T00:15:12.000Z
"5/19/2022, 7:18:12 PM",3.655,85.5,79.8,38,2022-05-20T00:18:12.000Z
