Instrument:,NH3-211205141
Name:,Biosolids Dewatering
Time Zone Offset (Minutes):,-240
Orignal File Name:,"C:\Users\Phil.Bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dessertation\NH3-211205141_6_3_2024, 12_18_27 PM --- 7_1_2024, 1_18_27 PM.acrudata"
Session ID:,37388
Session 1st Title:,"NH3-211205141_6_3_2024, 12_18_27 PM --- 7_1_2024, 1_18_27 PM"
Session Start:,"6/3/2024, 12:18:27 PM"
Session End:,"7/1/2024, 1:18:27 PM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time
"6/3/2024, 12:18:27 PM",3.652,73.2,83.5,0,2024-06-03T16:18:27.000Z
"6/3/2024, 12:21:27 PM",3.655,73.4,83.5,0,2024-06-03T16:21:27.000Z
"6/3/2024, 12:24:27 PM",3.655,73.9,83.6,0,2024-06-03T16:24:27.000Z
"6/3/2024, 12:27:27 PM",3.655,75.2,83.7,0,2024-06-03T16:27:27.000Z
"6/3/2024, 12:30:27 PM",3.655,77.7,84.1,0,2024-06-03T16:30:27.000Z
"6/3/2024, 12:33:27 PM",3.654,80.2,84.4,5,2024-06-03T16:33:27.000Z
"6/3/2024, 12:36:27 PM",3.654,82.2,84.6,8,2024-06-03T16:36:27.000Z
"6/3/2024, 12:39:27 PM",3.654,84,84.8,11,2024-06-03T16:39:27.000Z
"6/3/2024, 12:42:27 PM",3.654,85.3,84.9,15,2024-06-03T16:42:27.000Z
"6/3/2024, 12:45:27 PM",3.654,86.5,85.1,19,2024-06-03T16:45:27.000Z
"6/3/2024, 12:48:27 PM",3.654,87.8,85.3,22,2024-06-03T16:48:27.000Z
"6/3/2024, 12:51:27 PM",3.654,88.7,85.4,26,2024-06-03T16:51:27.000Z
"6/3/2024, 12:54:27 PM",3.654,89.4,85.5,29,2024-06-03T16:54:27.000Z
"6/3/2024, 12:57:27 PM",3.654,90.1,85.6,30,2024-06-03T16:57:27.000Z
"6/3/2024, 1:00:27 PM",3.654,90.9,85.7,32,2024-06-03T17:00:27.000Z
"6/3/2024, 1:03:27 PM",3.654,91.6,85.8,34,2024-06-03T17:03:27.000Z
"6/3/2024, 1:06:27 PM",3.654,92.1,85.9,36,2024-06-03T17:06:27.000Z
"6/3/2024, 1:09:27 PM",3.654,92.5,86,37,2024-06-03T17:09:27.000Z
"6/3/2024, 1:12:27 PM",3.654,93,86.1,37,2024-06-03T17:12:27.000Z
"6/3/2024, 1:15:27 PM",3.654,93.2,86.1,38,2024-06-03T17:15:27.000Z
"6/3/2024, 1:18:27 PM",3.654,93.6,86.2,39,2024-06-03T17:18:27.000Z
"6/3/2024, 1:21:27 PM",3.654,93.9,86.3,39,2024-06-03T17:21:27.000Z
"6/3/2024, 1:24:27 PM",3.654,94.1,86.3,40,2024-06-03T17:24:27.000Z
"6/3/2024, 1:27:27 PM",3.655,94.3,86.4,40,2024-06-03T17:27:27.000Z
"6/3/2024, 1:30:27 PM",3.654,94.5,86.4,40,2024-06-03T17:30:27.000Z
"6/3/2024, 1:33:27 PM",3.654,94.6,86.5,40,2024-06-03T17:33:27.000Z
"6/3/2024, 1:36:27 PM",3.654,94.8,86.6,41,2024-06-03T17:36:27.000Z
