Instrument:,NH3-211205141
Name:,Biosolids Dewatering
Time Zone Offset (Minutes):,-240
Orignal File Name:,"C:\Users\Phil.Bennington\Documents\Aculog NH3\NH3-211205141_[1-30-2025, 12-46-08 PM --- 2-26-2025, 1-16-08 PM].acrudata"
Session ID:,25988
Session 1st Title:,"NH3-211205141_[1-30-2025, 12-46-08 PM --- 2-26-2025, 1-16-08 PM]"
Session Start:,"1/30/2025, 1:46:08 PM"
Session End:,"2/26/2025, 2:16:08 PM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time
"1/30/2025, 1:46:08 PM",3.644,64.2,73,0,2025-01-30T17:46:08.000Z
"1/30/2025, 1:49:08 PM",3.641,64.9,73.1,0,2025-01-30T17:49:08.000Z
"1/30/2025, 1:52:08 PM",3.643,65.1,73.2,0,2025-01-30T17:52:08.000Z
"1/30/2025, 1:55:08 PM",3.644,64.9,73.1,0,2025-01-30T17:55:08.000Z
"1/30/2025, 1:58:08 PM",3.644,64.8,73.1,0,2025-01-30T17:58:08.000Z
"1/30/2025, 2:01:08 PM",3.645,64.6,73.1,0,2025-01-30T18:01:08.000Z
"1/30/2025, 2:04:08 PM",3.645,64.4,73,1,2025-01-30T18:04:08.000Z
"1/30/2025, 2:07:08 PM",3.645,64.2,73,2,2025-01-30T18:07:08.000Z
"1/30/2025, 2:10:08 PM",3.646,64,73,3,2025-01-30T18:10:08.000Z
"1/30/2025, 2:13:08 PM",3.646,63.9,73,3,2025-01-30T18:13:08.000Z
"1/30/2025, 2:16:08 PM",3.645,63.9,73,4,2025-01-30T18:16:08.000Z
"1/30/2025, 2:19:08 PM",3.646,63.7,73,4,2025-01-30T18:19:08.000Z
"1/30/2025, 2:22:08 PM",3.646,63.7,72.9,4,2025-01-30T18:22:08.000Z
"1/30/2025, 2:25:08 PM",3.646,63.5,72.9,4,2025-01-30T18:25:08.000Z
"1/30/2025, 2:28:08 PM",3.645,63.5,72.9,5,2025-01-30T18:28:08.000Z
"1/30/2025, 2:31:08 PM",3.646,63.5,72.9,5,2025-01-30T18:31:08.000Z
"1/30/2025, 2:34:08 PM",3.645,63.3,72.9,5,2025-01-30T18:34:08.000Z
"1/30/2025, 2:37:08 PM",3.646,63.3,72.9,5,2025-01-30T18:37:08.000Z
"1/30/2025, 2:40:08 PM",3.646,63.3,72.9,5,2025-01-30T18:40:08.000Z
"1/30/2025, 2:43:08 PM",3.646,63.3,72.9,6,2025-01-30T18:43:08.000Z
"1/30/2025, 2:46:08 PM",3.646,63.1,72.9,6,2025-01-30T18:46:08.000Z
"1/30/2025, 2:49:08 PM",3.646,63.1,72.9,6,2025-01-30T18:49:08.000Z
"1/30/2025, 2:52:08 PM",3.645,63,72.9,6,2025-01-30T18:52:08.000Z
"1/30/2025, 2:55:08 PM",3.646,63,72.9,6,2025-01-30T18:55:08.000Z
"1/30/2025, 2:58:08 PM",3.645,63,72.9,6,2025-01-30T18:58:08.000Z
"1/30/2025, 3:01:08 PM",3.646,62.8,72.9,6,2025-01-30T19:01:08.000Z
"1/30/2025, 3:04:08 PM",3.646,62.8,72.8,6,2025-01-30T19:04:08.000Z
"1/30/2025, 3:07:08 PM",3.646,62.6,72.8,6,2025-01-30T19:07:08.000Z
"1/30/2025, 3:10:08 PM",3.646,62.6,72.8,6,2025-01-30T19:10:08.000Z
"1/30/2025, 3:13:08 PM",3.646,62.4,72.8,6,2025-01-30T19:13:08.000Z
"1/30/2025, 3:16:08 PM",3.646,62.4,72.8,6,2025-01-30T19:16:08.000Z
"1/30/2025, 3:19:08 PM",3.646,62.4,72.9,6,2025-01-30T19:19:08.000Z
"1/30/2025, 3:22:08 PM",3.646,62.2,72.9,6,2025-01-30T19:22:08.000Z
"1/30/2025, 3:25:08 PM",3.645,62.2,72.9,7,2025-01-30T19:25:08.000Z
"1/30/2025, 3:28:08 PM",3.646,62.1,72.9,7,2025-01-30T19:28:08.000Z
"1/30/2025, 3:31:08 PM",3.645,62.1,72.9,7,2025-01-30T19:31:08.000Z
"1/30/2025, 3:34:08 PM",3.646,61.9,73,7,2025-01-30T19:34:08.000Z
"1/30/2025, 3:37:08 PM",3.645,61.9,73,7,2025-01-30T19:37:08.000Z
"1/30/2025, 3:40:08 PM",3.646,61.9,73,7,2025-01-30T19:40:08.000Z
"1/30/2025, 3:43:08 PM",3.645,61.7,73,7,2025-01-30T19:43:08.000Z
"1/30/2025, 3:46:08 PM",3.645,61.7,73.1,7,2025-01-30T19:46:08.000Z
"1/30/2025, 3:49:08 PM",3.645,61.7,73.1,7,2025-01-30T19:49:08.000Z
"1/30/2025, 3:52:08 PM",3.646,61.5,73.1,7,2025-01-30T19:52:08.000Z
"1/30/2025, 3:55:08 PM",3.645,61.5,73.2,7,2025-01-30T19:55:08.000Z
"1/30/2025, 3:58:08 PM",3.645,61.3,73.2,7,2025-01-30T19:58:08.000Z
"1/30/2025, 4:01:08 PM",3.645,61.3,73.3,7,2025-01-30T20:01:08.000Z
"1/30/2025, 4:04:08 PM",3.645,61.3,73.3,7,2025-01-30T20:04:08.000Z
"1/30/2025, 4:07:08 PM",3.645,61.2,73.4,7,2025-01-30T20:07:08.000Z
"1/30/2025, 4:10:08 PM",3.645,61.2,73.5,7,2025-01-30T20:10:08.000Z
"1/30/2025, 4:13:08 PM",3.645,61.2,73.5,7,2025-01-30T20:13:08.000Z
"1/30/2025, 4:16:08 PM",3.645,61.2,73.6,7,2025-01-30T20:16:08.000Z
"1/30/2025, 4:19:08 PM",3.645,61,73.7,7,2025-01-30T20:19:08.000Z
"1/30/2025, 4:22:08 PM",3.645,61,73.8,7,2025-01-30T20:22:08.000Z
"1/30/2025, 4:25:08 PM",3.645,61,73.8,7,2025-01-30T20:25:08.000Z
"1/30/2025, 4:28:08 PM",3.645,60.8,73.9,7,2025-01-30T20:28:08.000Z
"1/30/2025, 4:31:08 PM",3.645,60.6,74,7,2025-01-30T20:31:08.000Z
"1/30/2025, 4:34:08 PM",3.645,60.6,74,7,2025-01-30T20:34:08.000Z
"1/30/2025, 4:37:08 PM",3.646,60.6,74.1,7,2025-01-30T20:37:08.000Z
"1/30/2025, 4:40:08 PM",3.645,60.4,74.2,7,2025-01-30T20:40:08.000Z
"1/30/2025, 4:43:08 PM",3.645,60.4,74.3,7,2025-01-30T20:43:08.000Z
"1/30/2025, 4:46:08 PM",3.645,60.3,74.4,7,2025-01-30T20:46:08.000Z
"1/30/2025, 4:49:08 PM",3.645,60.3,74.4,7,2025-01-30T20:49:08.000Z
"1/30/2025, 4:52:08 PM",3.645,60.1,74.5,7,2025-01-30T20:52:08.000Z
"1/30/2025, 4:55:08 PM",3.645,60.1,74.6,7,2025-01-30T20:55:08.000Z
"1/30/2025, 4:58:08 PM",3.645,60.1,74.7,7,2025-01-30T20:58:08.000Z
"1/30/2025, 5:01:08 PM",3.645,59.9,74.8,7,2025-01-30T21:01:08.000Z
"1/30/2025, 5:04:08 PM",3.645,59.9,74.9,7,2025-01-30T21:04:08.000Z
"1/30/2025, 5:07:08 PM",3.644,59.9,75,7,2025-01-30T21:07:08.000Z
"1/30/2025, 5:10:08 PM",3.645,59.7,75,7,2025-01-30T21:10:08.000Z
"1/30/2025, 5:13:08 PM",3.644,59.7,75.1,7,2025-01-30T21:13:08.000Z
"1/30/2025, 5:16:08 PM",3.645,59.7,75.2,7,2025-01-30T21:16:08.000Z
"1/30/2025, 5:19:08 PM",3.645,59.5,75.3,7,2025-01-30T21:19:08.000Z
"1/30/2025, 5:22:08 PM",3.644,59.5,75.4,7,2025-01-30T21:22:08.000Z
"1/30/2025, 5:25:08 PM",3.645,59.5,75.5,7,2025-01-30T21:25:08.000Z
"1/30/2025, 5:28:08 PM",3.645,59.5,75.6,7,2025-01-30T21:28:08.000Z
"1/30/2025, 5:31:08 PM",3.644,59.4,75.7,7,2025-01-30T21:31:08.000Z
"1/30/2025, 5:34:08 PM",3.644,59.4,75.7,7,2025-01-30T21:34:08.000Z
"1/30/2025, 5:37:08 PM",3.645,59.4,75.8,7,2025-01-30T21:37:08.000Z
"1/30/2025, 5:40:08 PM",3.645,59.4,75.9,7,2025-01-30T21:40:08.000Z
"1/30/2025, 5:43:08 PM",3.644,59.2,76,7,2025-01-30T21:43:08.000Z
"1/30/2025, 5:46:08 PM",3.645,59.2,76.1,7,2025-01-30T21:46:08.000Z
"1/30/2025, 5:49:08 PM",3.644,59.2,76.2,7,2025-01-30T21:49:08.000Z
"1/30/2025, 5:52:08 PM",3.644,59.2,76.3,7,2025-01-30T21:52:08.000Z
"1/30/2025, 5:55:08 PM",3.645,59.2,76.4,7,2025-01-30T21:55:08.000Z
"1/30/2025, 5:58:08 PM",3.644,59,76.4,7,2025-01-30T21:58:08.000Z
"1/30/2025, 6:01:08 PM",3.644,59,76.5,7,2025-01-30T22:01:08.000Z
"1/30/2025, 6:04:08 PM",3.644,59,76.6,7,2025-01-30T22:04:08.000Z
"1/30/2025, 6:07:08 PM",3.644,59,76.7,7,2025-01-30T22:07:08.000Z
"1/30/2025, 6:10:08 PM",3.644,59,76.7,7,2025-01-30T22:10:08.000Z
"1/30/2025, 6:13:08 PM",3.644,59,76.8,7,2025-01-30T22:13:08.000Z
"1/30/2025, 6:16:08 PM",3.644,59,76.9,7,2025-01-30T22:16:08.000Z
"1/30/2025, 6:19:08 PM",3.644,59,77,7,2025-01-30T22:19:08.000Z
