Instrument:,NH3-211205141
Name:,Biosolids Dewatering
Time Zone Offset (Minutes):,-300
Orignal File Name:,"C:\Users\Phil.Bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dessertation\NH3-211205141_[2-1-2024, 1-13-52 PM-04-00 --- 3-12-2024, 12-34-52 PM].acrudata"
Session ID:,55659
Session 1st Title:,"NH3-211205141_[2-1-2024, 1-13-52 PM-04-00 --- 3-12-2024, 12-34-52 PM]"
Session Start:,"2/1/2024, 12:13:52 PM"
Session End:,"3/12/2024, 11:34:52 AM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time
"2/1/2024, 12:13:52 PM",3.656,71.8,98.1,0,2024-02-01T17:13:52.000Z
"2/1/2024, 12:16:52 PM",3.656,72.5,98.2,0,2024-02-01T17:16:52.000Z
"2/1/2024, 12:19:52 PM",3.657,72.3,98.1,0,2024-02-01T17:19:52.000Z
"2/1/2024, 12:22:52 PM",3.657,71.6,98,0,2024-02-01T17:22:52.000Z
"2/1/2024, 12:25:52 PM",3.657,71.2,98,3,2024-02-01T17:25:52.000Z
"2/1/2024, 12:28:52 PM",3.657,71.1,98.1,4,2024-02-01T17:28:52.000Z
"2/1/2024, 12:31:52 PM",3.657,70.9,98,4,2024-02-01T17:31:52.000Z
"2/1/2024, 12:34:52 PM",3.657,70.9,98,5,2024-02-01T17:34:52.000Z
"2/1/2024, 12:37:52 PM",3.657,70.9,98,5,2024-02-01T17:37:52.000Z
"2/1/2024, 12:40:52 PM",3.657,70.9,98,6,2024-02-01T17:40:52.000Z
"2/1/2024, 12:43:52 PM",3.657,70.7,98,6,2024-02-01T17:43:52.000Z
"2/1/2024, 12:46:52 PM",3.657,70.7,98,6,2024-02-01T17:46:52.000Z
"2/1/2024, 12:49:52 PM",3.657,70.7,98,7,2024-02-01T17:49:52.000Z
"2/1/2024, 12:52:52 PM",3.657,70.7,98,7,2024-02-01T17:52:52.000Z
"2/1/2024, 12:55:52 PM",3.657,70.7,98,7,2024-02-01T17:55:52.000Z
"2/1/2024, 12:58:52 PM",3.657,70.7,98,7,2024-02-01T17:58:52.000Z
"2/1/2024, 1:01:52 PM",3.657,70.7,98,7,2024-02-01T18:01:52.000Z
"2/1/2024, 1:04:52 PM",3.657,70.7,98,8,2024-02-01T18:04:52.000Z
"2/1/2024, 1:07:52 PM",3.657,70.5,97.9,8,2024-02-01T18:07:52.000Z
"2/1/2024, 1:10:52 PM",3.657,70.5,97.9,8,2024-02-01T18:10:52.000Z
"2/1/2024, 1:13:52 PM",3.657,70.5,97.9,8,2024-02-01T18:13:52.000Z
"2/1/2024, 1:16:52 PM",3.657,70.5,97.9,8,2024-02-01T18:16:52.000Z
"2/1/2024, 1:19:52 PM",3.657,70.5,97.9,8,2024-02-01T18:19:52.000Z
"2/1/2024, 1:22:52 PM",3.657,70.3,97.9,8,2024-02-01T18:22:52.000Z
"2/1/2024, 1:25:52 PM",3.657,70.3,97.9,8,2024-02-01T18:25:52.000Z
"2/1/2024, 1:28:52 PM",3.657,70.3,97.9,8,2024-02-01T18:28:52.000Z
"2/1/2024, 1:31:52 PM",3.657,70.3,97.8,8,2024-02-01T18:31:52.000Z
"2/1/2024, 1:34:52 PM",3.657,70.3,97.8,8,2024-02-01T18:34:52.000Z
"2/1/2024, 1:37:52 PM",3.657,70.2,97.8,8,2024-02-01T18:37:52.000Z
"2/1/2024, 1:40:52 PM",3.657,70.2,97.8,8,2024-02-01T18:40:52.000Z
"2/1/2024, 1:43:52 PM",3.657,70.2,97.8,8,2024-02-01T18:43:52.000Z
"2/1/2024, 1:46:52 PM",3.657,70,97.9,8,2024-02-01T18:46:52.000Z
"2/1/2024, 1:49:52 PM",3.657,70,97.9,8,2024-02-01T18:49:52.000Z
"2/1/2024, 1:52:52 PM",3.657,70,97.8,8,2024-02-01T18:52:52.000Z
"2/1/2024, 1:55:52 PM",3.657,69.8,97.8,8,2024-02-01T18:55:52.000Z
"2/1/2024, 1:58:52 PM",3.657,69.8,97.8,8,2024-02-01T18:58:52.000Z
"2/1/2024, 2:01:52 PM",3.657,69.8,97.8,8,2024-02-01T19:01:52.000Z
"2/1/2024, 2:04:52 PM",3.657,69.8,97.8,8,2024-02-01T19:04:52.000Z
"2/1/2024, 2:07:52 PM",3.657,69.8,97.8,8,2024-02-01T19:07:52.000Z
"2/1/2024, 2:10:52 PM",3.657,69.6,97.8,8,2024-02-01T19:10:52.000Z
"2/1/2024, 2:13:52 PM",3.657,69.6,97.7,8,2024-02-01T19:13:52.000Z
"2/1/2024, 2:16:52 PM",3.657,69.6,97.7,8,2024-02-01T19:16:52.000Z
"2/1/2024, 2:19:52 PM",3.657,69.6,97.7,8,2024-02-01T19:19:52.000Z
"2/1/2024, 2:22:52 PM",3.657,69.4,97.7,8,2024-02-01T19:22:52.000Z
"2/1/2024, 2:25:52 PM",3.657,69.4,97.7,8,2024-02-01T19:25:52.000Z
"2/1/2024, 2:28:52 PM",3.657,69.4,97.8,8,2024-02-01T19:28:52.000Z
"2/1/2024, 2:31:52 PM",3.657,69.4,97.8,8,2024-02-01T19:31:52.000Z
"2/1/2024, 2:34:52 PM",3.657,69.4,97.8,8,2024-02-01T19:34:52.000Z
"2/1/2024, 2:37:52 PM",3.657,69.4,97.8,8,2024-02-01T19:37:52.000Z
"2/1/2024, 2:40:52 PM",3.657,69.4,97.7,8,2024-02-01T19:40:52.000Z
"2/1/2024, 2:43:52 PM",3.657,69.4,97.7,8,2024-02-01T19:43:52.000Z
"2/1/2024, 2:46:52 PM",3.657,69.4,97.7,8,2024-02-01T19:46:52.000Z
"2/1/2024, 2:49:52 PM",3.657,69.4,97.7,8,2024-02-01T19:49:52.000Z
"2/1/2024, 2:52:52 PM",3.657,69.4,97.7,8,2024-02-01T19:52:52.000Z
"2/1/2024, 2:55:52 PM",3.657,69.4,97.7,8,2024-02-01T19:55:52.000Z
"2/1/2024, 2:58:52 PM",3.657,69.3,97.7,8,2024-02-01T19:58:52.000Z
"2/1/2024, 3:01:52 PM",3.657,69.4,97.7,8,2024-02-01T20:01:52.000Z
"2/1/2024, 3:04:52 PM",3.657,69.4,97.7,8,2024-02-01T20:04:52.000Z
"2/1/2024, 3:07:52 PM",3.657,69.3,97.7,8,2024-02-01T20:07:52.000Z
"2/1/2024, 3:10:52 PM",3.657,69.3,97.7,8,2024-02-01T20:10:52.000Z
"2/1/2024, 3:13:52 PM",3.657,69.3,97.7,8,2024-02-01T20:13:52.000Z
"2/1/2024, 3:16:52 PM",3.657,69.3,97.7,8,2024-02-01T20:16:52.000Z
"2/1/2024, 3:19:52 PM",3.657,69.3,97.7,8,2024-02-01T20:19:52.000Z
"2/1/2024, 3:22:52 PM",3.657,69.3,97.7,8,2024-02-01T20:22:52.000Z
"2/1/2024, 3:25:52 PM",3.657,69.3,97.7,8,2024-02-01T20:25:52.000Z
"2/1/2024, 3:28:52 PM",3.657,69.3,97.7,8,2024-02-01T20:28:52.000Z
"2/1/2024, 3:31:52 PM",3.657,69.3,97.7,8,2024-02-01T20:31:52.000Z
"2/1/2024, 3:34:52 PM",3.657,69.4,97.7,8,2024-02-01T20:34:52.000Z
"2/1/2024, 3:37:52 PM",3.657,69.4,97.7,8,2024-02-01T20:37:52.000Z
"2/1/2024, 3:40:52 PM",3.657,69.4,97.7,8,2024-02-01T20:40:52.000Z
"2/1/2024, 3:43:52 PM",3.657,69.4,97.7,8,2024-02-01T20:43:52.000Z
"2/1/2024, 3:46:52 PM",3.656,69.6,97.7,8,2024-02-01T20:46:52.000Z
"2/1/2024, 3:49:52 PM",3.657,69.6,97.7,8,2024-02-01T20:49:52.000Z
"2/1/2024, 3:52:52 PM",3.657,69.6,97.7,8,2024-02-01T20:52:52.000Z
"2/1/2024, 3:55:52 PM",3.657,69.6,97.7,8,2024-02-01T20:55:52.000Z
"2/1/2024, 3:58:52 PM",3.657,69.6,97.7,8,2024-02-01T20:58:52.000Z
