Instrument:,NH3-211205141,,,,,,,
Name:,Biosolids Dewatering,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,
Orignal File Name:,"C:\Users\Phil.Bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dessertation\NH3-211205141_[3-19-2024, 7-49-44 AM --- 4-23-2024, 9-28-44 AM].acrudata",,,,,,,
Session ID:,36963,,,,,,,
Session 1st Title:,"NH3-211205141_[3-19-2024, 7-49-44 AM --- 4-23-2024, 9-28-44 AM]",,,,,,,
Session 2nd Title:,Surge Tank ,,,,,,,
Session Start:,"3/19/2024, 7:49:44 AM",,,,,,,
Session End:,"4/23/2024, 9:28:44 AM",,,,,,,
,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time,,,Dosage (mg/L)
"3/19/2024, 7:49:44 AM",3.657,69.1,71,0,2024-03-19T11:49:44.000Z,,,1356
"3/19/2024, 7:52:44 AM",3.656,69.4,71,0,2024-03-19T11:52:44.000Z,,,1356
"3/19/2024, 7:55:44 AM",3.656,69.6,71,0,2024-03-19T11:55:44.000Z,,,1356
"3/19/2024, 7:58:44 AM",3.657,69.6,71.1,0,2024-03-19T11:58:44.000Z,,,1356
"3/19/2024, 8:01:44 AM",3.657,69.1,71,0,2024-03-19T12:01:44.000Z,,,1356
"3/19/2024, 8:04:44 AM",3.657,67.3,70.8,0,2024-03-19T12:04:44.000Z,,,1356
"3/19/2024, 8:07:44 AM",3.657,65.7,70.7,1,2024-03-19T12:07:44.000Z,,,1356
"3/19/2024, 8:10:44 AM",3.657,64.6,70.5,2,2024-03-19T12:10:44.000Z,,,1356
"3/19/2024, 8:13:44 AM",3.657,63.7,70.4,2,2024-03-19T12:13:44.000Z,,,1356
"3/19/2024, 8:16:44 AM",3.658,63,70.4,3,2024-03-19T12:16:44.000Z,,,1356
"3/19/2024, 8:19:44 AM",3.657,62.2,70.4,3,2024-03-19T12:19:44.000Z,,,1356
"3/19/2024, 8:22:44 AM",3.658,61.7,70.3,3,2024-03-19T12:22:44.000Z,,,1356
"3/19/2024, 8:25:44 AM",3.657,61,70.2,3,2024-03-19T12:25:44.000Z,,,1356
"3/19/2024, 8:28:44 AM",3.657,60.4,70.2,4,2024-03-19T12:28:44.000Z,,,1356
"3/19/2024, 8:31:44 AM",3.657,60.1,70.2,4,2024-03-19T12:31:44.000Z,,,1356
"3/19/2024, 8:34:44 AM",3.658,59.5,70.1,4,2024-03-19T12:34:44.000Z,,,1356
"3/19/2024, 8:37:44 AM",3.657,59.2,70.2,4,2024-03-19T12:37:44.000Z,,,1356
"3/19/2024, 8:40:44 AM",3.656,59,70.1,4,2024-03-19T12:40:44.000Z,,,1356
"3/19/2024, 8:43:44 AM",3.656,58.5,70.1,4,2024-03-19T12:43:44.000Z,,,1356
"3/19/2024, 8:46:44 AM",3.657,58.1,70.2,5,2024-03-19T12:46:44.000Z,,,1356
"3/19/2024, 8:49:44 AM",3.656,57.9,70.1,5,2024-03-19T12:49:44.000Z,,,1356
"3/19/2024, 8:52:44 AM",3.657,57.6,70.1,5,2024-03-19T12:52:44.000Z,,,1356
"3/19/2024, 8:55:44 AM",3.656,57.4,70.2,5,2024-03-19T12:55:44.000Z,,,1356
"3/19/2024, 8:58:44 AM",3.656,57,70.2,5,2024-03-19T12:58:44.000Z,,,1356
"3/19/2024, 9:01:44 AM",3.656,56.8,70.2,6,2024-03-19T13:01:44.000Z,,,1356
"3/19/2024, 9:04:44 AM",3.655,56.5,70.2,6,2024-03-19T13:04:44.000Z,,,1356
"3/19/2024, 9:07:44 AM",3.655,56.3,70.2,6,2024-03-19T13:07:44.000Z,,,1356
"3/19/2024, 9:10:44 AM",3.655,56.1,70.3,6,2024-03-19T13:10:44.000Z,,,1356
"3/19/2024, 9:13:44 AM",3.656,55.8,70.3,6,2024-03-19T13:13:44.000Z,,,1356
