Instrument:,NH3-211205141
Name:,Biosolids Dewatering
Time Zone Offset (Minutes):,-240
Orignal File Name:,"C:\Users\phil.bennington\OneDrive - City of Dayton\G-Drive\Phil.Bennington\CLARKSON_UNIVERSITY_PhD Program\Dissertation\NH3-211205141_[3-6-2026, 11-52-34 AM --- 3-13-2026, 12-37-34 PM-05-00].acrudata"
Session ID:,5880
Session 1st Title:,"NH3-211205141_[3-6-2026, 11-52-34 AM --- 3-13-2026, 12-37-34 PM-05-00]"
Session Start:,"3/6/2026, 10:52:34 AM"
Session End:,"3/13/2026, 12:37:34 PM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),NH3 (PPM),ISO time
"3/6/2026, 10:52:34 AM",3.647,75.6,100,8,2026-03-06T16:52:34.000Z
"3/6/2026, 10:55:34 AM",3.626,76.3,100,7,2026-03-06T16:55:34.000Z
"3/6/2026, 10:58:34 AM",3.633,79.3,100,6,2026-03-06T16:58:34.000Z
"3/6/2026, 11:01:34 AM",3.637,79.2,100,11,2026-03-06T17:01:34.000Z
"3/6/2026, 11:04:34 AM",3.64,79,100,14,2026-03-06T17:04:34.000Z
"3/6/2026, 11:07:34 AM",3.642,79,100,16,2026-03-06T17:07:34.000Z
"3/6/2026, 11:10:34 AM",3.644,79,100,16,2026-03-06T17:10:34.000Z
"3/6/2026, 11:13:34 AM",3.645,79,100,17,2026-03-06T17:13:34.000Z
"3/6/2026, 11:16:34 AM",3.645,79,100,18,2026-03-06T17:16:34.000Z
"3/6/2026, 11:19:34 AM",3.646,79,100,19,2026-03-06T17:19:34.000Z
"3/6/2026, 11:22:34 AM",3.646,79,100,19,2026-03-06T17:22:34.000Z
"3/6/2026, 11:25:34 AM",3.647,79,100,19,2026-03-06T17:25:34.000Z
"3/6/2026, 11:28:34 AM",3.647,79,100,19,2026-03-06T17:28:34.000Z
"3/6/2026, 11:31:34 AM",3.648,79.2,100,19,2026-03-06T17:31:34.000Z
"3/6/2026, 11:34:34 AM",3.648,79.3,100,19,2026-03-06T17:34:34.000Z
"3/6/2026, 11:37:34 AM",3.648,79.5,100,20,2026-03-06T17:37:34.000Z
"3/6/2026, 11:40:34 AM",3.648,79.7,100,20,2026-03-06T17:40:34.000Z
"3/6/2026, 11:43:34 AM",3.648,79.5,100,22,2026-03-06T17:43:34.000Z
"3/6/2026, 11:46:34 AM",3.648,79.5,100,28,2026-03-06T17:46:34.000Z
"3/6/2026, 11:49:34 AM",3.648,79.3,100,30,2026-03-06T17:49:34.000Z
"3/6/2026, 11:52:34 AM",3.649,79.2,100,31,2026-03-06T17:52:34.000Z
"3/6/2026, 11:55:34 AM",3.649,79.2,100,31,2026-03-06T17:55:34.000Z
"3/6/2026, 11:58:34 AM",3.648,79.2,100,32,2026-03-06T17:58:34.000Z
"3/6/2026, 12:01:34 PM",3.649,79.3,100,28,2026-03-06T18:01:34.000Z
"3/6/2026, 12:04:34 PM",3.649,79.5,100,26,2026-03-06T18:04:34.000Z
"3/6/2026, 12:07:34 PM",3.649,79.5,100,24,2026-03-06T18:07:34.000Z
"3/6/2026, 12:10:34 PM",3.649,79.7,100,22,2026-03-06T18:10:34.000Z
"3/6/2026, 12:13:34 PM",3.649,79.9,100,22,2026-03-06T18:13:34.000Z
"3/6/2026, 12:16:34 PM",3.649,80.1,100,21,2026-03-06T18:16:34.000Z
"3/6/2026, 12:19:34 PM",3.649,80.1,100,21,2026-03-06T18:19:34.000Z
"3/6/2026, 12:22:34 PM",3.649,80.2,100,21,2026-03-06T18:22:34.000Z
"3/6/2026, 12:25:34 PM",3.649,80.2,100,23,2026-03-06T18:25:34.000Z
"3/6/2026, 12:28:34 PM",3.649,80.4,100,22,2026-03-06T18:28:34.000Z
"3/6/2026, 12:31:34 PM",3.649,80.6,100,22,2026-03-06T18:31:34.000Z
"3/6/2026, 12:34:34 PM",3.649,80.6,100,22,2026-03-06T18:34:34.000Z
"3/6/2026, 12:37:34 PM",3.65,80.6,100,25,2026-03-06T18:37:34.000Z
"3/6/2026, 12:40:34 PM",3.649,80.6,100,27,2026-03-06T18:40:34.000Z
"3/6/2026, 12:43:34 PM",3.65,80.6,100,25,2026-03-06T18:43:34.000Z
"3/6/2026, 12:46:34 PM",3.65,80.6,100,25,2026-03-06T18:46:34.000Z
"3/6/2026, 12:49:34 PM",3.65,80.8,100,22,2026-03-06T18:49:34.000Z
"3/6/2026, 12:52:34 PM",3.649,80.8,100,23,2026-03-06T18:52:34.000Z
"3/6/2026, 12:55:34 PM",3.649,80.6,100,26,2026-03-06T18:55:34.000Z
"3/6/2026, 12:58:34 PM",3.65,80.6,100,25,2026-03-06T18:58:34.000Z
"3/6/2026, 1:01:34 PM",3.65,80.6,100,25,2026-03-06T19:01:34.000Z
"3/6/2026, 1:04:34 PM",3.65,80.4,100,28,2026-03-06T19:04:34.000Z
"3/6/2026, 1:07:34 PM",3.65,80.4,100,30,2026-03-06T19:07:34.000Z
"3/6/2026, 1:10:34 PM",3.65,80.2,100,29,2026-03-06T19:10:34.000Z
"3/6/2026, 1:13:34 PM",3.65,80.2,100,28,2026-03-06T19:13:34.000Z
"3/6/2026, 1:16:34 PM",3.65,80.4,100,24,2026-03-06T19:16:34.000Z
"3/6/2026, 1:19:34 PM",3.65,80.6,100,22,2026-03-06T19:19:34.000Z
"3/6/2026, 1:22:34 PM",3.65,80.8,100,22,2026-03-06T19:22:34.000Z
"3/6/2026, 1:25:34 PM",3.65,81,100,21,2026-03-06T19:25:34.000Z
"3/6/2026, 1:28:34 PM",3.65,81.1,100,21,2026-03-06T19:28:34.000Z
"3/6/2026, 1:31:34 PM",3.65,81.3,100,20,2026-03-06T19:31:34.000Z
"3/6/2026, 1:34:34 PM",3.65,81.3,100,20,2026-03-06T19:34:34.000Z
"3/6/2026, 1:37:34 PM",3.65,81.3,100,25,2026-03-06T19:37:34.000Z
"3/6/2026, 1:40:34 PM",3.65,81.1,100,32,2026-03-06T19:40:34.000Z
"3/6/2026, 1:43:34 PM",3.65,81.1,100,31,2026-03-06T19:43:34.000Z
"3/6/2026, 1:46:34 PM",3.65,81.1,100,28,2026-03-06T19:46:34.000Z
"3/6/2026, 1:49:34 PM",3.65,81.3,100,26,2026-03-06T19:49:34.000Z
"3/6/2026, 1:52:34 PM",3.651,81.5,100,22,2026-03-06T19:52:34.000Z
"3/6/2026, 1:55:34 PM",3.65,81.5,100,22,2026-03-06T19:55:34.000Z
"3/6/2026, 1:58:34 PM",3.651,81.7,100,24,2026-03-06T19:58:34.000Z
"3/6/2026, 2:01:34 PM",3.65,81.7,100,23,2026-03-06T20:01:34.000Z
"3/6/2026, 2:04:34 PM",3.651,81.9,100,21,2026-03-06T20:04:34.000Z
"3/6/2026, 2:07:34 PM",3.651,81.9,100,20,2026-03-06T20:07:34.000Z
"3/6/2026, 2:10:34 PM",3.651,81.9,100,20,2026-03-06T20:10:34.000Z
"3/6/2026, 2:13:34 PM",3.651,81.9,100,20,2026-03-06T20:13:34.000Z
"3/6/2026, 2:16:34 PM",3.65,82,100,19,2026-03-06T20:16:34.000Z
"3/6/2026, 2:19:34 PM",3.651,82,100,18,2026-03-06T20:19:34.000Z
"3/6/2026, 2:22:34 PM",3.651,81.9,100,18,2026-03-06T20:22:34.000Z
"3/6/2026, 2:25:34 PM",3.651,81.9,100,17,2026-03-06T20:25:34.000Z
"3/6/2026, 2:28:34 PM",3.651,81.7,100,17,2026-03-06T20:28:34.000Z
"3/6/2026, 2:31:34 PM",3.651,81.5,100,17,2026-03-06T20:31:34.000Z
"3/6/2026, 2:34:34 PM",3.651,81.3,100,18,2026-03-06T20:34:34.000Z
"3/6/2026, 2:37:34 PM",3.651,81.1,100,16,2026-03-06T20:37:34.000Z
"3/6/2026, 2:40:34 PM",3.651,81.1,100,14,2026-03-06T20:40:34.000Z
"3/6/2026, 2:43:34 PM",3.651,81,100,15,2026-03-06T20:43:34.000Z
"3/6/2026, 2:46:34 PM",3.651,81,100,14,2026-03-06T20:46:34.000Z
"3/6/2026, 2:49:34 PM",3.651,81.1,100,14,2026-03-06T20:49:34.000Z
"3/6/2026, 2:52:34 PM",3.651,81.1,100,14,2026-03-06T20:52:34.000Z
"3/6/2026, 2:55:34 PM",3.651,81.1,100,14,2026-03-06T20:55:34.000Z
"3/6/2026, 2:58:34 PM",3.651,81,100,14,2026-03-06T20:58:34.000Z
"3/6/2026, 3:01:34 PM",3.651,81,100,18,2026-03-06T21:01:34.000Z
"3/6/2026, 3:04:34 PM",3.651,81,100,17,2026-03-06T21:04:34.000Z
"3/6/2026, 3:07:34 PM",3.651,81,100,16,2026-03-06T21:07:34.000Z
"3/6/2026, 3:10:34 PM",3.651,81,100,16,2026-03-06T21:10:34.000Z
"3/6/2026, 3:13:34 PM",3.652,81,100,16,2026-03-06T21:13:34.000Z
"3/6/2026, 3:16:34 PM",3.651,81,100,16,2026-03-06T21:16:34.000Z
"3/6/2026, 3:19:34 PM",3.651,81.1,100,15,2026-03-06T21:19:34.000Z
"3/6/2026, 3:22:34 PM",3.651,81.1,100,16,2026-03-06T21:22:34.000Z
"3/6/2026, 3:25:34 PM",3.652,81,100,17,2026-03-06T21:25:34.000Z
"3/6/2026, 3:28:34 PM",3.651,81,100,16,2026-03-06T21:28:34.000Z
"3/6/2026, 3:31:34 PM",3.651,81,100,15,2026-03-06T21:31:34.000Z
"3/6/2026, 3:34:34 PM",3.652,81,100,15,2026-03-06T21:34:34.000Z
"3/6/2026, 3:37:34 PM",3.652,81,100,15,2026-03-06T21:37:34.000Z
"3/6/2026, 3:40:34 PM",3.652,81,100,14,2026-03-06T21:40:34.000Z
"3/6/2026, 3:43:34 PM",3.652,81,100,14,2026-03-06T21:43:34.000Z
"3/6/2026, 3:46:34 PM",3.652,81,100,16,2026-03-06T21:46:34.000Z
"3/6/2026, 3:49:34 PM",3.652,80.8,100,18,2026-03-06T21:49:34.000Z
"3/6/2026, 3:52:34 PM",3.651,80.6,100,19,2026-03-06T21:52:34.000Z
"3/6/2026, 3:55:34 PM",3.651,80.2,100,19,2026-03-06T21:55:34.000Z
"3/6/2026, 3:58:34 PM",3.652,80.1,100,18,2026-03-06T21:58:34.000Z
"3/6/2026, 4:01:34 PM",3.652,80.1,100,20,2026-03-06T22:01:34.000Z
"3/6/2026, 4:04:34 PM",3.652,79.7,100,21,2026-03-06T22:04:34.000Z
"3/6/2026, 4:07:34 PM",3.652,79.5,100,20,2026-03-06T22:07:34.000Z
"3/6/2026, 4:10:34 PM",3.652,79.5,100,19,2026-03-06T22:10:34.000Z
"3/6/2026, 4:13:34 PM",3.652,79.3,100,20,2026-03-06T22:13:34.000Z
"3/6/2026, 4:16:34 PM",3.652,79.2,100,21,2026-03-06T22:16:34.000Z
"3/6/2026, 4:19:34 PM",3.652,79,100,20,2026-03-06T22:19:34.000Z
"3/6/2026, 4:22:34 PM",3.651,79,100,21,2026-03-06T22:22:34.000Z
"3/6/2026, 4:25:34 PM",3.652,78.8,100,22,2026-03-06T22:25:34.000Z
"3/6/2026, 4:28:34 PM",3.652,78.6,100,22,2026-03-06T22:28:34.000Z
"3/6/2026, 4:31:34 PM",3.652,78.4,100,22,2026-03-06T22:31:34.000Z
"3/6/2026, 4:34:34 PM",3.652,78.3,100,22,2026-03-06T22:34:34.000Z
"3/6/2026, 4:37:34 PM",3.652,78.1,100,22,2026-03-06T22:37:34.000Z
"3/6/2026, 4:40:34 PM",3.652,77.9,100,22,2026-03-06T22:40:34.000Z
"3/6/2026, 4:43:34 PM",3.652,77.7,100,22,2026-03-06T22:43:34.000Z
"3/6/2026, 4:46:34 PM",3.652,77.5,100,21,2026-03-06T22:46:34.000Z
"3/6/2026, 4:49:34 PM",3.652,77.2,100,21,2026-03-06T22:49:34.000Z
"3/6/2026, 4:52:34 PM",3.652,77,100,21,2026-03-06T22:52:34.000Z
"3/6/2026, 4:55:34 PM",3.652,76.8,100,22,2026-03-06T22:55:34.000Z
"3/6/2026, 4:58:34 PM",3.652,76.6,100,23,2026-03-06T22:58:34.000Z
"3/6/2026, 5:01:34 PM",3.652,76.5,100,22,2026-03-06T23:01:34.000Z
"3/6/2026, 5:04:34 PM",3.652,76.3,100,23,2026-03-06T23:04:34.000Z
"3/6/2026, 5:07:34 PM",3.652,75.9,100,23,2026-03-06T23:07:34.000Z
"3/6/2026, 5:10:34 PM",3.652,75.7,100,23,2026-03-06T23:10:34.000Z
"3/6/2026, 5:13:34 PM",3.652,75.6,100,23,2026-03-06T23:13:34.000Z
"3/6/2026, 5:16:34 PM",3.652,75.2,100,23,2026-03-06T23:16:34.000Z
"3/6/2026, 5:19:34 PM",3.652,75,100,23,2026-03-06T23:19:34.000Z
"3/6/2026, 5:22:34 PM",3.652,74.8,100,23,2026-03-06T23:22:34.000Z
"3/6/2026, 5:25:34 PM",3.652,74.7,100,23,2026-03-06T23:25:34.000Z
"3/6/2026, 5:28:34 PM",3.653,74.3,100,23,2026-03-06T23:28:34.000Z
"3/6/2026, 5:31:34 PM",3.652,74.1,100,24,2026-03-06T23:31:34.000Z
"3/6/2026, 5:34:34 PM",3.652,73.9,100,24,2026-03-06T23:34:34.000Z
