Instrument:,NH3-211205141,,,,,,,,,,,,,
Name:,Biosolids Dewatering,,,,,,,,,,,,,"1)      HCL Stopped feeding on Thursday 8/27/2025. Then off Sept 4, Sept 11 and Sept 18. New delivery will be on Sept 25, 2025."
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,"2)      Ferric Tote received on Sept 10, but was left off for one (1) week."
Orignal File Name:,"C:\Users\phil.bennington\Documents\NH3-211205141_[8-27-2025, 8-19-51 AM --- 9-10-2025, 10-37-51 AM].acrudata",,,,,,,,,,,,,
Session ID:,24794,,,,,,,,,,,,,
Session 1st Title:,"NH3-211205141_[8-27-2025, 8-19-51 AM --- 9-10-2025, 10-37-51 AM]",,,,,,,,,,,,,Ferric Chloride 37.9% Strength and Spec. Grav. 1.404
Session Start:,"8/27/2025, 8:19:51 AM",,,,,,,,,,,,,                                 Totes 583 Lbs/day of 37.9% = 220.9 Lbs of 100% strength
Session End:,"9/10/2025, 10:37:51 AM",,,,,,,,,,,,,
,,,,,,,,,,,,,,MGD X 8.34 X mg/L = Lbs 100% strength
Time Stamp,Battery (Volts),Temperature (Â°F),Humidity (%),NH3 (PPM),ISO time,,,,,,,,,
"8/27/2025, 8:19:51 AM",3.634,69.1,89.6,0,2025-08-27T12:19:51.000Z,,,,,,,,,
"8/27/2025, 8:22:51 AM",3.661,70.7,90.1,0,2025-08-27T12:22:51.000Z,,,,,,,,,
"8/27/2025, 8:25:51 AM",3.661,71.1,90.2,0,2025-08-27T12:25:51.000Z,,,,,,,,,
"8/27/2025, 8:28:51 AM",3.661,70.7,90.1,0,2025-08-27T12:28:51.000Z,,,,,,,,,
"8/27/2025, 8:31:51 AM",3.66,70.5,90,0,2025-08-27T12:31:51.000Z,,,,,,,,,
"8/27/2025, 8:34:51 AM",3.66,70.2,89.9,0,2025-08-27T12:34:51.000Z,,,,,,,,,
"8/27/2025, 8:37:51 AM",3.66,70,89.9,0,2025-08-27T12:37:51.000Z,,,,,,,,,
"8/27/2025, 8:40:51 AM",3.66,69.6,89.8,0,2025-08-27T12:40:51.000Z,,,,,,,,,
"8/27/2025, 8:43:51 AM",3.66,69.4,89.8,0,2025-08-27T12:43:51.000Z,,,,,,,,,
"8/27/2025, 8:46:51 AM",3.66,69.3,89.7,0,2025-08-27T12:46:51.000Z,,,,,,,,,
"8/27/2025, 8:49:51 AM",3.661,69.1,89.8,1,2025-08-27T12:49:51.000Z,,,,,,,,,
"8/27/2025, 8:52:51 AM",3.66,69.1,89.7,1,2025-08-27T12:52:51.000Z,,,,,,,,,
"8/27/2025, 8:55:51 AM",3.66,69.1,89.7,1,2025-08-27T12:55:51.000Z,,,,,,,,,
